#{"t_start": 1574137366.7408361, "env_id": "BipedalWalker-v2"}
r,l,t
-114.36095,81,1.004709
-103.600224,1600,3.577489
-125.894101,193,3.86895
-122.085232,1600,6.298274
-112.267543,118,6.475245
-82.927455,1600,8.877725
-118.052873,1600,11.296446
-111.558898,77,11.411642
-123.236396,111,11.581477
-117.716983,95,11.7261
-106.586384,115,11.898561
-116.307474,75,12.014169
-105.03183,92,12.154851
-127.739334,1600,14.530532
-109.507121,76,14.646735
-111.851435,56,14.735552
-109.87134,51,14.817347
-132.033086,1600,17.186325
-111.153997,52,17.270147
-112.909729,73,17.380288
-140.800768,1600,19.776599
-139.984734,1600,22.165085
-131.648592,1600,24.560531
-105.838295,1600,26.930607
-119.630797,60,27.024709
-94.201925,1600,29.377113
-93.630336,1600,31.723584
-98.633553,1600,34.046304
-101.280478,145,34.263486
-100.75812,61,34.359918
-99.59619,1600,36.712721
-80.087896,1600,39.054869
-96.895913,1600,41.365576
-115.13521,69,41.468974
-104.613016,76,41.587284
-114.770573,56,41.676982
-105.812557,66,41.777108
-158.090014,924,43.1098
-117.428288,355,43.63167
-104.775178,67,43.733289
-118.781124,78,43.852275
-102.364998,73,43.961835
-104.673301,48,44.036835
-98.813536,90,44.174215
-118.727195,89,44.309357
-100.886484,88,44.440225
-111.068338,109,44.604195
-120.176058,99,44.752076
-113.509596,227,45.091295
-126.235829,141,45.30407
-105.721533,84,45.431841
-105.974492,195,45.723048
-99.800317,88,45.857945
-102.111005,70,45.964473
-104.603508,72,46.075435
-116.33921,62,46.172052
-103.587926,102,46.324833
-102.763066,94,46.466603
-103.385959,86,46.596761
-99.195531,82,46.722492
-102.728359,80,46.843274
-102.974137,61,46.937166
-101.5003,75,47.051165
-103.3359,115,47.223599
-122.859393,84,47.349896
-105.219621,92,47.488578
-126.396745,113,47.657761
-109.425617,143,47.869832
-101.849376,62,47.966488
-104.909145,64,48.062897
-121.592922,87,48.196127
-101.382574,79,48.317764
-109.92092,133,48.513969
-103.859759,77,48.630895
-103.650322,69,48.734966
-102.121413,81,48.858105
-103.822456,100,49.0103
-102.99964,82,49.133344
-106.069239,123,49.316031
-106.164155,82,49.439878
-98.132373,111,49.606511
-103.903134,101,49.757777
-108.100124,90,49.897137
-104.631914,49,49.974786
-101.921369,174,50.232466
-99.730683,124,50.416396
-105.115898,65,50.516465
-101.759065,71,50.625092
-123.492777,90,50.768609
-98.437847,79,50.891763
-99.395265,150,51.119495
-105.319281,64,51.219088
-121.269921,94,51.366303
-105.80614,56,51.455779
-102.795373,99,51.605361
-123.167987,107,51.768792
-103.991988,82,51.894099
-107.33397,72,52.004136
-105.931497,95,52.147114
-100.474161,113,52.316621
-98.980342,145,52.534931
-130.785374,575,53.375612
-102.668906,84,53.504358
-108.22665,86,53.634847
-102.320881,83,53.760578
-104.581497,69,53.865359
-104.027906,80,53.988281
-116.265559,254,54.367992
-126.809503,103,54.524064
-108.372996,222,54.849695
-113.951112,251,55.221064
-103.049687,104,55.376965
-109.227777,234,55.721376
-104.530056,75,55.83487
-107.101459,84,55.963055
-108.242121,81,56.085884
-101.063963,101,56.23573
-101.993411,91,56.376194
-104.034632,70,56.482884
-103.94103,62,56.577376
-105.15473,50,56.655741
-103.574867,55,56.741337
-103.819271,45,56.81101
-101.378172,67,56.913789
-102.273985,51,56.993807
-100.88509,65,57.093358
-100.044739,87,57.224707
-101.359241,73,57.339685
-107.66868,97,57.48504
-104.076145,66,57.585026
-101.776608,70,57.692703
-98.991966,95,57.8367
-99.580414,91,57.975059
-120.985134,81,58.10457
-104.98724,78,58.221978
-101.034392,93,58.364244
-113.883351,44,58.434811
-103.184394,77,58.551542
-104.718023,82,58.674737
-102.397978,93,58.815649
-103.957062,66,58.915131
-100.415887,65,59.013192
-103.885726,83,59.138468
-106.092453,57,59.226426
-124.890389,107,59.38765
-101.542928,83,59.511868
-103.679457,84,59.639791
-115.774157,250,60.008298
-99.947707,85,60.138869
-105.272008,91,60.276933
-105.17838,129,60.471878
-106.83478,60,60.564285
-102.837769,84,60.692214
-103.739348,58,60.779756
-109.815539,193,61.067933
-106.692765,78,61.188326
-111.349377,102,61.342614
-128.193015,114,61.516207
-104.058395,114,61.688029
-107.702977,124,61.875483
-113.808325,229,62.217253
-108.170991,280,62.632251
-102.353099,68,62.73811
-98.509421,76,62.862466
-99.26037,77,62.980255
-110.371856,159,63.216828
-103.953699,63,63.315666
-106.486949,93,63.456635
-103.573395,96,63.604554
-125.021006,95,63.747862
-102.494208,165,63.99127
-104.093732,91,64.129601
-102.94191,81,64.25383
-99.16484,90,64.392564
-100.112738,71,64.502373
-104.724568,113,64.673645
-114.197535,61,64.768615
-106.835907,144,64.986187
-105.619675,55,65.072526
-100.9088,85,65.203013
-121.023837,92,65.34361
-101.39317,109,65.509241
-102.192733,85,65.639023
-100.771968,144,65.854489
-109.307711,140,66.065747
-101.409759,91,66.205287
-101.007547,106,66.365746
-105.589557,134,66.568345
-103.340664,82,66.693696
-119.666613,78,66.814552
-104.822499,88,66.950914
-109.429077,172,67.209646
-106.251974,180,67.477606
-103.319881,117,67.651249
-106.969597,118,67.827834
-104.493304,80,67.951358
-105.840616,107,68.112176
-123.316425,111,68.280543
-117.136017,80,68.402547
-105.645732,106,68.561028
-103.35839,147,68.780498
-102.919935,60,68.873472
-102.681383,163,69.115962
-110.156978,199,69.412431
-101.402737,70,69.520951
-105.361526,94,69.662953
-106.116733,91,69.801267
-106.967474,173,70.060513
-108.547099,172,70.318883
-105.656484,107,70.481649
-105.070976,97,70.627274
-107.914234,148,70.856391
-111.852958,170,71.112008
-101.708713,79,71.233125
-104.405039,133,71.430495
-124.54996,126,71.62133
-124.362149,98,71.770608
-103.306078,72,71.882618
-101.657722,87,72.015334
-103.774787,90,72.154062
-129.321625,146,72.376243
-119.418727,170,72.630391
-107.583964,69,72.735532
-109.277844,63,72.833753
-106.122748,85,72.964261
-108.65933,52,73.044109
-107.673096,88,73.178935
-122.164264,233,73.538587
-103.102937,72,73.650616
-107.937743,90,73.790814
-101.319135,96,73.937434
-109.833156,104,74.097498
-125.958844,130,74.303529
-105.573287,143,74.530915
-99.800198,118,74.713625
-99.486408,109,74.880367
-110.610919,108,75.043382
-120.867469,96,75.191366
-106.948341,95,75.338018
-107.031897,88,75.473978
-107.932816,139,75.682414
-107.435392,166,75.933184
-103.501038,78,76.082185
-125.947982,325,76.566249
-105.220846,79,76.68478
-106.925654,107,76.847716
-100.101483,97,76.99488
-103.193433,111,77.162145
-112.273931,120,77.3441
-107.907489,102,77.5002
-120.161537,106,77.66088
-103.23626,121,77.843273
-106.400461,101,77.9964
-105.728092,78,78.117842
-109.602075,127,78.309498
-114.36807,168,78.564676
-131.445212,487,79.276111
-104.599709,80,79.399458
-117.954753,172,79.659318
-115.532354,184,79.936009
-117.492637,224,80.270226
-105.901005,99,80.421455
-114.335619,132,80.621227
-109.070449,103,80.777206
-120.088305,188,81.058029
-103.860423,117,81.234414
-104.906137,80,81.356545
-106.866674,74,81.470125
