#{"t_start": 1574307038.416484, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-252.970264,103,0.946132
-63.510165,74,1.039122
-438.45473,112,1.187425
-293.340548,153,1.409957
26.836732,1000,5.216963
-181.051031,126,5.385082
-335.477799,100,5.516336
-259.684906,91,5.634091
-83.300591,109,5.778876
-199.437828,135,5.962098
-404.692287,87,6.076844
-392.182089,124,6.240163
-319.280117,129,6.412752
-88.789821,94,6.536935
-291.860602,103,6.669642
-419.496419,97,6.796829
-488.01445,144,6.992185
-371.635104,116,7.143667
-487.207475,110,7.288486
-327.613535,85,7.398171
-355.332496,146,7.592838
-110.405237,131,7.767502
-213.709009,96,7.890248
-358.569451,130,8.060719
-273.349351,86,8.175101
-59.381978,88,8.289581
-292.666414,106,8.433456
-404.301936,181,8.699475
-313.185061,111,8.846132
-238.170274,158,9.069776
-467.169412,164,9.30272
-460.807621,175,9.550501
-237.036948,134,9.736952
-708.207553,133,9.915775
-499.611335,118,10.074725
-221.922461,94,10.2024
-451.586914,101,10.336526
-237.542995,94,10.463905
-540.712802,121,10.623338
-413.01285,104,10.762621
-615.274919,128,10.934037
-39.882449,135,11.118522
-543.046402,129,11.294368
-352.298584,114,11.44914
-371.821982,123,11.612399
-102.556623,115,11.770061
-402.722797,151,11.978661
-258.478822,185,12.244401
-227.654382,128,12.420654
-202.005248,137,12.608729
-319.898713,154,12.833
-380.914533,216,13.155811
-243.532671,138,13.356203
-283.959606,148,13.571279
-225.663227,148,13.786091
-464.484428,182,14.053751
-543.015637,178,14.322521
-668.198346,173,14.571348
-578.547283,160,14.801736
-456.013787,136,14.990985
-221.070067,113,15.148423
-535.46322,223,15.480844
-222.618479,163,15.721821
-173.917753,196,16.021651
-363.561549,247,16.419584
9.749832,142,16.613426
-594.763989,193,16.901316
-206.306797,125,17.082144
-401.318681,110,17.239539
-364.517888,200,17.549188
-529.843563,163,17.783698
-331.044353,287,18.292896
-362.269843,224,18.651776
-362.174596,171,18.91416
-412.06566,269,19.356822
-556.859023,274,19.827058
-79.007469,209,20.141708
-233.749621,171,20.405539
-245.140577,176,20.661015
-279.965452,148,20.873054
-333.852601,247,21.265574
-261.554581,168,21.515982
-368.451792,169,21.771036
-356.366793,144,21.981326
-310.481262,226,22.334312
-284.73898,187,22.620142
-508.674999,138,22.818521
-501.545322,139,23.024431
-415.122097,142,23.227526
-259.844867,147,23.436991
-334.90546,121,23.611454
-470.241997,227,23.961222
-521.009785,142,24.167179
-326.353442,211,24.499356
-393.132482,120,24.667527
-422.560297,125,24.845574
-472.163845,186,25.1296
-434.35821,140,25.327378
-677.744068,280,25.80478
-405.515617,231,26.190282
-599.182838,192,26.482637
-399.613783,215,26.826768
-676.550288,191,27.12127
-343.659673,147,27.338085
-440.718757,144,27.553207
-392.697658,247,27.959687
-557.33863,231,28.348885
-439.308552,147,28.565811
-261.339047,261,28.995151
-496.136613,342,29.654609
-379.630533,230,30.035787
-309.528304,152,30.261664
-569.220494,256,30.685072
-384.041779,155,30.911998
-258.922523,161,31.157667
-416.486376,142,31.377639
-402.763972,382,32.153544
-457.716797,266,32.593462
-172.619257,152,32.825941
-360.397189,355,33.528813
-514.104901,358,34.206151
-356.583037,144,34.42467
-557.701723,155,34.658238
-482.720386,241,35.053645
-304.655739,176,35.333322
-599.020264,276,35.789923
-448.996755,155,36.017191
-626.028503,387,36.817567
-408.823229,192,37.112307
-564.737949,470,37.993024
-367.130832,325,38.546417
-665.166253,500,39.769277
-401.470956,255,40.18944
-153.980989,1000,43.459835
-488.330912,243,43.866892
-451.527554,672,45.552858
-543.050897,301,46.077624
-292.832932,1000,49.772431
-413.285047,251,50.205489
-338.951533,1000,54.357813
-180.275683,1000,57.995167
-158.641449,1000,61.921809
-353.203969,155,62.157381
-436.016839,513,63.286646
-160.093866,1000,65.701419
-651.148722,698,67.508367
-510.000576,181,67.790093
-525.443433,206,68.129363
-473.872513,183,68.402932
-518.99907,288,68.881988
-571.839931,184,69.165901
-497.915803,146,69.385464
-635.248038,638,70.999871
-563.073905,244,71.399808
-382.755352,238,71.800543
-421.783,248,72.21765
-310.81716,202,72.544582
-745.351415,310,73.106412
-126.437496,210,73.455186
-571.242157,572,74.906859
-702.48696,157,75.144982
-491.330074,180,75.427044
-592.003295,192,75.719581
-621.476348,996,78.29132
-504.695416,191,78.584227
-655.714771,135,78.7806
-151.126494,1000,82.015465
-384.670556,1000,85.176657
-163.845184,1000,88.90482
-509.680316,201,89.216703
-481.731936,283,89.693749
-159.741502,1000,93.657434
-576.594678,226,94.043078
-446.921745,200,94.359156
-124.342633,1000,97.916329
-446.963627,286,98.437497
-523.071014,147,98.656326
-133.977742,1000,101.755998
-384.669173,261,102.226613
-629.644052,143,102.444682
-499.690213,186,102.744204
-156.536272,1000,106.606917
-460.61515,281,107.084016
-138.173135,1000,109.802669
-137.944073,1000,112.809436
-144.754998,1000,115.673954
-138.303007,1000,119.011631
-157.221366,1000,122.453118
-159.881448,1000,125.687769
-515.296114,182,125.981589
-161.676804,1000,128.688227
-392.644498,146,128.912072
-159.604931,1000,131.80025
-114.479838,1000,135.557542
-150.543863,1000,138.923759
-390.187742,163,139.181933
-741.906743,193,139.488537
-479.214144,173,139.758966
-477.105233,196,140.087039
-449.857422,199,140.395078
-109.403225,1000,144.354475
-476.792646,194,144.668664
-144.727508,1000,148.509597
-133.689745,1000,151.845133
-364.468678,155,152.082118
-564.083957,190,152.382819
-138.208028,1000,155.666283
-155.552981,1000,158.667638
-111.600553,1000,162.433292
-134.926291,1000,165.153036
-728.643007,225,165.526212
-436.287086,376,166.343928
-560.4989,167,166.604918
-651.385278,382,167.367336
-530.968405,193,167.670967
-447.454066,148,167.898539
-143.41019,1000,170.775245
-531.360588,206,171.107848
-114.080528,1000,174.816597
-157.934345,1000,177.969956
-483.222051,175,178.244689
-563.296185,226,178.60926
-135.685857,1000,181.853096
-136.059144,1000,185.294118
-675.455755,224,185.669666
-505.251952,141,185.877379
-187.486404,1000,189.050308
-162.325215,1000,193.198737
-179.61745,1000,196.906609
-424.002592,207,197.258421
-546.603012,240,197.656124
-142.628787,1000,200.915948
-641.453382,147,201.132277
-404.697531,165,201.392414
-437.937514,254,201.831844
-351.623359,152,202.058394
-528.172157,141,202.261731
-627.766078,178,202.543015
-113.010081,1000,205.988909
-701.718642,237,206.372137
-501.261225,147,206.592659
-640.221831,198,206.902839
-157.067169,1000,209.800508
-667.387994,200,210.117229
-153.681581,1000,213.616133
-549.339617,145,213.827774
-163.654867,1000,216.984951
-607.234763,212,217.335488
-177.06055,1000,220.903924
-177.319954,1000,223.989433
-546.156163,144,224.211597
-160.930337,1000,228.161741
-551.811494,184,228.468573
-491.73674,145,228.693111
-175.421627,1000,231.77171
-163.356336,1000,234.762493
-138.817144,1000,238.580366
-154.384981,1000,242.302119
-493.698445,145,242.532324
-164.386491,1000,246.67491
-162.584418,1000,249.87702
-412.708663,147,250.096495
-178.59778,1000,252.733116
-165.740248,1000,256.735773
-141.55309,1000,259.440957
-177.77008,1000,262.593854
-129.558432,1000,265.73266
-500.717392,204,266.05714
-139.043835,1000,269.090488
-134.872446,1000,272.105521
-464.527279,159,272.351995
-494.997282,182,272.640197
-101.694613,1000,275.080835
-162.899666,1000,278.559544
-362.953911,164,278.807564
-131.368354,1000,281.51547
-395.595626,152,281.755869
-169.636887,1000,285.454314
-150.791129,1000,289.015192
-636.869152,163,289.264799
-629.389716,137,289.469874
-155.524718,1000,293.054898
-146.141366,1000,296.451666
-435.065176,147,296.6783
-167.826851,1000,299.453139
-509.170182,149,299.685247
-178.856893,1000,303.114843
-638.000961,169,303.382709
-415.885187,144,303.603814
-196.630433,158,303.842034
-776.07188,124,304.024233
-164.828849,1000,307.210265
-149.474526,1000,310.136636
-174.969537,1000,313.807674
-504.673848,116,313.979503
-532.903885,147,314.208017
-405.292399,150,314.440898
-180.872429,1000,317.59597
-155.054191,1000,321.128182
-838.027761,173,321.391528
-480.275953,131,321.590249
-160.83722,1000,325.148697
-445.615389,139,325.362253
-539.938702,232,325.763244
-895.239184,130,325.961476
-510.511883,139,326.174909
-707.342561,175,326.447653
-156.629547,1000,329.453266
-262.335693,155,329.689306
-387.808805,102,329.834773
-468.594332,130,330.024414
-546.01489,133,330.229979
-100.337138,1000,333.681258
-561.585434,144,333.903996
-729.997273,137,334.112143
-839.911609,166,334.365929
-942.670289,136,334.564603
-461.657157,132,334.762635
-153.704258,1000,338.672817
-583.294957,181,338.952002
-809.279212,138,339.15904
-489.039263,131,339.352909
-413.19758,141,339.559123
-907.665895,138,339.756918
-382.10817,102,339.904974
-368.748895,128,340.089716
-514.785543,145,340.313312
-546.139286,141,340.522158
-610.612878,148,340.731074
-204.121573,1000,343.746194
-420.82912,136,343.947295
-513.859132,171,344.213361
-146.955104,1000,347.20154
-911.859868,135,347.406079
-388.224889,102,347.550884
-181.985905,1000,351.098677
-546.720017,144,351.313939
-388.189299,101,351.4609
-496.539335,134,351.661524
-563.897691,174,351.932039
-845.316998,127,352.118445
-876.862136,165,352.369747
-188.374021,1000,356.331725
-497.208663,141,356.546763
-901.656569,146,356.756651
-468.345039,135,356.95677
-387.026752,242,357.35437
-512.111921,140,357.562388
-558.48062,140,357.76924
-142.920054,1000,360.891928
-179.674418,1000,364.54327
-180.221354,1000,368.063246
-739.129442,146,368.277625
-492.7342,195,368.58829
-484.121761,149,368.80903
-461.886263,148,369.038165
-390.514152,123,369.217128
-189.833894,1000,372.908345
-157.202635,1000,376.570804
-612.01656,112,376.736417
-478.202861,133,376.936626
-453.580796,184,377.230337
-479.982932,141,377.448528
-594.379287,255,377.869448
-542.439433,146,378.088282
-157.532734,1000,380.805601
-145.931522,1000,383.488109
-134.766524,1000,387.026001
-149.069031,1000,389.962239
-206.055797,1000,393.443878
-433.121623,189,393.747782
-472.375177,132,393.941742
-461.494388,130,394.130343
-119.79168,1000,397.479272
-682.687731,138,397.676827
-755.36601,122,397.854698
-94.995597,1000,400.68662
-920.49768,125,400.870613
-105.413319,1000,404.999843
-531.636325,136,405.201186
-790.400426,120,405.373316
-513.097914,143,405.591525
-380.101141,122,405.772341
-89.253657,1000,409.668911
-501.838434,210,409.99531
-89.600752,1000,413.389427
-545.131301,132,413.587202
-530.084736,140,413.793908
-583.538864,175,414.061986
-439.031713,135,414.265595
-543.069289,132,414.46293
-74.096093,1000,417.804082
-138.075566,1000,421.704198
-154.813825,1000,424.927669
-149.084371,1000,427.915768
-532.268208,138,428.121203
-548.059102,133,428.323495
-458.813604,136,428.519425
-156.421013,1000,431.963952
-449.016982,265,432.413897
-175.342119,1000,435.998203
-162.77415,1000,439.021497
-529.370124,140,439.232016
-121.452894,1000,442.909031
-866.402939,131,443.110601
-553.443904,144,443.336866
-192.364963,1000,446.442947
-697.309501,176,446.722807
-194.62469,1000,450.674631
-428.229939,102,450.830396
-624.954195,147,451.058198
-878.45151,133,451.265693
-148.841899,1000,454.445516
-138.942812,1000,457.915457
-855.364511,130,458.116871
-557.472941,177,458.392137
-644.978865,141,458.610917
-736.678056,134,458.810955
-720.163478,120,458.98457
-583.824687,211,459.325224
-139.566255,1000,462.690827
-581.007577,173,462.956935
-440.576318,137,463.166262
-550.966507,134,463.366924
-726.95238,119,463.541824
-956.790848,137,463.738368
-935.90377,129,463.924133
-899.254192,125,464.110214
-106.887102,1000,467.406841
-537.665149,453,468.415864
-80.788475,1000,472.62684
-567.387291,206,472.9642
-137.716216,1000,476.710845
-483.282193,137,476.925879
-531.103305,130,477.115408
-876.42036,127,477.304837
-139.72109,1000,480.374354
-540.839393,107,480.531222
-478.272511,101,480.680354
-117.264446,1000,483.383074
-896.553219,122,483.562795
-138.385785,1000,487.156257
-818.873553,156,487.400845
-170.462745,1000,491.023864
-176.811954,1000,494.276865
-164.009475,1000,498.026862
-471.273886,142,498.246674
-910.568249,138,498.45724
-469.005276,130,498.652756
-131.322617,1000,502.301238
-797.933524,190,502.60397
-331.422767,121,502.782519
-465.489725,128,502.974337
-579.615539,140,503.183485
-468.471634,116,503.356288
-440.280256,126,503.540503
-661.343714,112,503.702435
-505.05403,132,503.903363
-488.779724,132,504.095725
-396.582521,160,504.333691
-188.839147,1000,507.636474
-559.903487,105,507.786789
-175.314449,1000,510.903716
-192.430536,1000,514.73115
-513.057837,140,514.946629
-544.848832,134,515.149411
-308.395392,138,515.353367
-167.460655,1000,519.17491
-1048.886297,176,519.440221
-430.43512,148,519.663066
-534.620557,137,519.870366
-161.006012,1000,523.679671
-141.503657,1000,527.369837
-148.795971,1000,530.444737
-147.852279,1000,534.044689
-470.309638,136,534.252474
-172.090208,1000,537.33439
-183.455444,1000,540.185831
-679.254634,152,540.415992
-169.53685,1000,543.65566
-480.537686,132,543.857885
-135.589592,1000,547.51657
-458.963459,140,547.716871
-142.467403,1000,551.142667
-436.236514,139,551.350484
-975.078663,127,551.534199
-165.000544,1000,554.81855
-473.67331,137,555.022679
-151.534349,1000,557.938659
-93.971625,1000,560.798042
-474.148754,138,561.007602
-86.682792,1000,564.323384
-128.829929,1000,567.297044
-674.380644,152,567.525148
-148.129001,1000,571.1336
-158.521002,1000,574.165527
-137.371961,1000,577.10697
-488.452852,141,577.322172
-622.22934,195,577.629841
-148.893375,1000,581.435292
-942.589849,124,581.624337
-120.205092,1000,584.995767
-220.229196,1000,588.600945
-823.603516,128,588.789512
-541.619566,140,588.998429
-513.357436,139,589.208609
-168.25839,1000,593.016573
-450.90089,171,593.281722
-453.536949,136,593.486105
-417.137299,148,593.711818
-171.92297,1000,597.430705
-445.778172,191,597.741585
-148.987292,1000,600.55147
-429.807114,132,600.750124
-683.138261,191,601.047027
-164.558163,1000,604.776099
-150.510895,1000,608.069637
-523.610182,141,608.283441
-687.327291,124,608.471221
-981.058921,126,608.654587
-201.016304,1000,612.287701
-1029.638338,143,612.508589
-495.97051,146,612.73439
-492.222671,142,612.954268
-413.687233,146,613.176998
-930.533625,131,613.377855
-794.990642,123,613.564719
-522.503801,145,613.788657
-162.866091,1000,617.401144
-434.222415,144,617.621246
-176.256606,1000,620.972374
-535.143972,173,621.245488
-825.465129,143,621.462987
-661.305836,135,621.66929
-554.317472,142,621.882719
-521.558148,314,622.479445
-94.664175,1000,625.973467
-197.789001,1000,629.740946
-209.834432,1000,633.274312
-491.928631,140,633.568719
-208.439512,1000,640.752999
-541.686445,142,641.17505
-820.254109,130,641.494011
-796.792151,151,641.96775
-966.592161,181,642.317104
-222.178155,1000,646.220474
-172.635865,1000,650.100124
-834.38476,173,650.361883
-548.37178,146,650.588257
-220.190872,1000,654.007153
-192.078191,1000,657.106932
-155.625115,1000,660.186962
-488.348402,140,660.404925
-160.005129,1000,663.264086
-535.349784,144,663.476904
-372.96762,140,663.697201
-122.745832,1000,667.757996
-382.43622,147,667.975841
-368.006004,100,668.117434
-746.707419,124,668.29754
-847.669853,132,668.49139
-144.088293,1000,671.82083
-555.950851,143,672.040622
-138.35418,1000,674.986316
-125.71492,1000,678.012701
-909.052771,146,678.240314
-192.813225,1000,682.386163
-830.653693,147,682.603431
-867.110786,134,682.809129
-945.971814,147,683.039751
-164.356078,1000,686.639146
-404.108602,139,686.854779
-501.502014,140,687.061707
-171.013564,1000,690.157666
-455.791061,143,690.38165
-588.622522,229,690.76546
-480.784447,144,690.975618
-828.199158,144,691.200613
-144.244139,1000,695.191877
-402.653632,218,695.56223
-429.209002,131,695.761895
-907.033313,149,695.986835
-190.106686,1000,699.687787
-758.314338,130,699.888961
-594.543729,151,700.122286
-501.022009,138,700.329355
-154.199828,1000,703.576888
-156.660276,1000,707.150138
-150.446769,1000,710.768117
-532.676525,138,710.975288
-117.953863,1000,715.077701
-952.512528,147,715.308842
-430.368588,150,715.539248
-488.527886,135,715.735798
-730.848334,121,715.911228
-384.983951,141,716.13223
-143.560268,1000,719.781383
-898.6874,204,720.110166
-146.028062,1000,723.659858
-151.290967,1000,727.100609
-465.802525,153,727.331271
-175.023517,1000,731.427394
-274.473974,149,731.652491
-495.598001,135,731.858032
-927.442273,134,732.057418
-384.578637,102,732.206319
-558.492905,140,732.413642
-153.337506,1000,736.466073
-151.432457,1000,739.713458
-931.829547,176,739.982533
-982.841826,150,740.211577
-159.066884,1000,743.682215
-835.942335,165,743.940061
-198.470162,1000,748.26225
-146.800276,1000,751.856659
-412.961023,141,752.066726
-549.334911,144,752.280109
-889.201085,157,752.507508
-519.953298,173,752.779769
-884.832562,164,753.018038
-852.831521,163,753.266306
-561.625933,140,753.47412
-192.783003,1000,756.525855
-339.412147,173,756.789625
-422.404536,138,756.996063
-188.892999,1000,760.614909
-695.55443,164,760.85379
-490.759855,136,761.059422
-173.024085,1000,764.23318
-830.906019,166,764.480278
-382.498075,165,764.724637
-759.18594,171,764.989294
-473.169122,140,765.195187
-876.740526,207,765.529644
-877.455844,165,765.776935
-765.205886,173,766.050535
-201.416287,155,766.287372
-623.169308,152,766.514591
-725.06419,123,766.698884
-127.274578,1000,769.756106
-500.667943,112,769.920934
-151.778296,1000,773.359532
-237.434101,167,773.634301
-823.149733,165,773.893549
-181.190743,1000,777.361091
-489.906887,153,777.586512
-552.699765,123,777.772607
-527.112395,144,777.986726
-117.144117,1000,781.118779
-159.52999,1000,784.103899
-763.524681,125,784.297162
-194.782556,1000,787.450184
-203.70084,1000,791.2454
-480.193043,160,791.482173
-348.938338,126,791.672109
-185.04038,1000,795.519285
-548.185127,121,795.702785
-170.212062,1000,798.665501
-776.475259,169,798.923892
-831.946142,170,799.179057
-522.118371,146,799.398972
-92.557477,162,799.647899
-448.966809,144,799.865436
-130.786227,1000,803.980726
-173.799403,1000,807.65986
-798.451161,245,808.07141
-136.42453,1000,811.817938
-820.897071,160,812.061559
-398.404249,144,812.274227
-168.958011,1000,815.950677
-129.222479,1000,819.003064
-831.517793,202,819.33415
-727.5622,169,819.583861
-373.703518,109,819.739697
-195.550051,1000,822.853243
-502.980682,143,823.064583
-711.637709,172,823.321612
-437.489168,139,823.52595
-789.389176,171,823.778262
-934.164038,184,824.06589
-217.010396,1000,826.890158
-819.384812,136,827.089449
-830.993243,163,827.324324
-188.532803,1000,830.302736
-479.336202,160,830.549754
-186.215351,1000,834.891288
-176.975857,1000,837.716852
-132.202439,1000,841.822449
-128.932416,1000,845.14328
-122.945325,1000,848.840503
-498.19621,236,849.237638
-164.708987,1000,852.71056
-129.786944,1000,855.549431
-181.69175,1000,858.852435
-418.098741,144,859.069916
-410.003711,141,859.290001
-500.803759,174,859.557808
-352.195344,137,859.755357
-178.284711,1000,862.940683
-885.843551,172,863.219232
-187.588392,1000,866.542767
-872.741339,223,866.90316
-818.935856,161,867.143114
-419.904028,145,867.359771
-809.390392,169,867.61952
-825.525198,172,867.883473
-175.384506,1000,871.181777
-136.235497,1000,874.270695
-123.969614,1000,877.635481
-173.774695,1000,880.527681
-404.583666,109,880.691456
-938.761978,135,880.895214
-503.955566,142,881.104302
-169.160326,1000,884.275881
-141.158922,1000,887.226384
-156.775884,1000,891.553014
-397.469224,216,891.906522
-866.982179,155,892.131788
-874.9038,162,892.37486
-149.258029,1000,895.855058
-119.622831,151,896.0837
-138.547277,1000,899.755918
-629.069686,149,899.97555
-932.873277,138,900.187693
-137.808894,1000,904.024065
-526.362643,148,904.248527
-219.126419,1000,907.308336
