#{"t_start": 1574102188.514356, "env_id": "MountainCarContinuous-v0"}
r,l,t
-50.486224,999,1.769685
-49.767164,999,2.697144
-49.360827,999,3.629637
-49.002075,999,4.563838
-47.714406,999,5.489361
-45.089841,999,6.416689
-42.268846,999,7.347899
-39.397291,999,8.296662
-36.919631,999,9.239391
-33.511957,999,10.174393
-32.371425,999,11.10388
-30.635636,999,12.032673
-25.20513,999,12.960679
-23.763866,999,13.894494
-20.715548,999,14.820068
-17.445486,999,15.753713
-17.39856,999,16.683714
-14.193169,999,17.611071
-13.545927,999,18.53556
-11.765768,999,19.461098
-11.521609,999,20.397377
-10.588454,999,21.329879
-10.149114,999,22.28882
-9.432671,999,23.246474
-8.018899,999,24.197136
-7.720509,999,25.132249
-8.017971,999,26.068214
-7.690581,999,27.002325
-7.253802,999,27.946557
-6.922733,999,28.885461
-7.130384,999,29.822082
-6.953037,999,30.759794
-6.393262,999,31.697405
-6.384175,999,32.63606
-5.923094,999,33.569359
-5.798755,999,34.504159
-5.847858,999,35.436649
-4.948997,999,36.373185
-5.462023,999,37.311151
-5.775776,999,38.252706
-5.268835,999,39.188434
-5.50734,999,40.123108
-5.586357,999,41.064975
-5.26599,999,42.006536
-5.320934,999,42.94602
-5.124966,999,43.880828
-5.3947,999,44.811615
-5.197532,999,45.739681
-5.373595,999,46.668613
-5.070596,999,47.592657
-5.056256,999,48.54991
-4.643713,999,49.478217
-4.903932,999,50.409683
-5.009326,999,51.339743
-5.413748,999,52.264448
-5.190097,999,53.201983
-5.871161,999,54.130438
-4.811969,999,55.05795
-5.356103,999,55.987362
-5.192696,999,56.914796
-4.905887,999,57.85124
-5.150257,999,58.778106
-5.274639,999,59.706733
-4.836002,999,60.636845
-4.655021,999,61.565745
-5.343875,999,62.492386
-4.723364,999,63.4253
-4.414669,999,64.349238
-5.098888,999,65.278714
-5.093054,999,66.206409
-5.131929,999,67.1348
-5.185129,999,68.063258
-4.93378,999,68.991989
-5.203601,999,69.922081
-5.144951,999,70.84915
-5.360909,999,71.777176
-4.782168,999,72.705021
-5.13817,999,73.632283
-5.098877,999,74.561274
-4.534914,999,75.485146
-4.973731,999,76.41407
-5.189054,999,77.339718
-5.01913,999,78.268734
-4.702524,999,79.19773
-4.935638,999,80.124133
-4.860479,999,81.053754
-5.046002,999,81.983769
-4.510213,999,82.914053
-4.802168,999,83.846957
-4.750992,999,84.778374
-4.938745,999,85.710028
-5.024813,999,86.645478
-5.00074,999,87.585936
-5.105767,999,88.527272
-5.251765,999,89.458092
-4.980546,999,90.393091
-5.29085,999,91.328389
-5.05776,999,92.261401
-4.96052,999,93.195679
-5.249477,999,94.130889
