#{"t_start": 1574128885.7967381, "env_id": "BipedalWalker-v2"}
r,l,t
-99.112245,1600,3.394284
-114.336909,56,3.461141
-116.810675,118,3.624401
-91.935415,1600,5.774908
-115.81873,67,5.851253
-116.389277,109,6.004688
-112.621339,66,6.110516
-118.628593,115,6.27021
-106.743359,74,6.355977
-111.781289,67,6.464785
-113.798834,72,6.549604
-73.033649,1600,8.689226
-85.795594,1600,10.803244
-58.47537,1600,12.922257
-119.120771,95,13.059967
-112.586344,78,13.151736
-107.286495,63,13.255832
-108.580769,45,13.309662
-109.64938,45,13.364295
-113.050443,69,13.474522
-116.460536,89,13.607829
-106.0046,78,13.698072
-112.888421,59,13.798947
-120.377673,119,13.965947
-77.047879,1600,16.082263
-122.901154,78,16.201369
-75.28533,1600,18.312113
-105.290459,95,18.450168
-60.511078,1600,20.555859
-59.99892,1600,22.721021
-73.542334,1600,24.845922
-65.863611,1600,26.993458
-110.156296,44,27.045812
-115.856616,398,27.574932
-100.625043,86,27.705446
-127.133889,96,27.845988
-101.263951,130,28.022967
-112.507088,326,28.442809
-107.454168,70,28.556077
-116.127751,322,28.971598
-106.426688,70,29.082546
-100.727375,70,29.193132
-121.552575,100,29.307383
-106.012746,59,29.406331
-112.951996,158,29.613858
-104.37983,126,29.785292
-120.79862,183,30.019788
-58.38956,1600,32.171431
-106.99743,41,32.221695
-37.902605,1600,34.349278
-105.437839,99,34.491662
-125.24031,135,34.673784
-31.566482,1600,36.755954
-41.957885,1600,38.872319
-26.571137,1600,40.961959
-104.551119,73,41.081269
-109.347939,187,41.321145
-109.932982,326,41.769763
-104.969336,149,41.9677
-112.88955,1265,43.640323
-104.699292,121,43.806126
-107.568038,352,44.250426
-111.905076,130,44.424969
-101.63439,280,44.825058
-137.528441,688,45.721373
-113.236916,52,45.783081
-115.182784,811,46.860315
-116.487605,75,46.946049
-13.992627,1600,49.07263
-6.384164,1600,51.131192
-109.727227,46,51.215164
-99.464252,198,51.461766
-107.46377,57,51.559228
-106.429099,384,52.067566
-103.321891,53,52.130216
-105.864467,56,52.22525
-118.0237,88,52.326363
-104.416052,159,52.533339
-97.58339,478,53.169766
-67.191973,911,54.35322
-113.849258,64,54.457267
-92.696145,127,54.631871
-101.629327,81,54.725404
-102.223895,62,54.828192
-102.218359,55,54.894066
-111.914121,101,55.037937
-174.779859,660,55.923642
-97.341764,84,56.052042
-113.289919,76,56.168126
-98.029641,195,56.412682
-102.876283,51,56.473375
-115.281809,88,56.601443
-96.150748,84,56.735924
-109.680277,69,56.816298
-99.499156,67,56.923846
-113.478891,67,57.001798
-112.945244,50,57.092138
-104.787527,58,57.159195
30.366465,1600,59.269046
-102.943507,120,59.433936
-156.373946,671,60.333986
-99.790977,77,60.422042
-84.885452,1374,62.217695
-117.622033,54,62.310904
-101.666939,1578,64.353983
-117.547308,122,64.519779
-107.591541,51,64.581118
-105.016536,72,64.694958
-106.832181,89,64.826805
-117.459545,76,64.914287
-106.971211,48,65.000599
-119.329814,94,65.108486
-126.146559,115,65.269671
-104.630008,67,65.37816
-113.687507,60,65.448039
-107.153407,50,65.536201
-106.360398,74,65.622208
-101.632659,137,65.805243
-109.689628,76,65.923281
-97.270995,263,66.270191
-85.603886,1095,67.681805
-102.401579,97,67.822544
-2.849606,1600,69.928623
-77.962659,881,71.078526
-98.588302,62,71.149846
-106.697632,57,71.216423
-107.060107,52,71.307961
-117.402284,68,71.388049
-102.401035,144,71.608166
-97.471243,1306,73.323947
-104.720818,891,74.48692
-103.750165,57,74.554023
-109.965655,41,74.603486
20.914743,1600,76.717945
-127.561049,98,76.862781
-104.313491,45,76.916677
-0.857954,1600,79.067629
-3.474892,1600,81.168091
-78.691076,409,81.708043
-103.697809,64,81.810289
-122.61428,82,81.903912
-97.699434,85,82.031741
-69.422586,399,82.555362
-116.34076,65,82.660836
-102.569699,61,82.731816
-105.137116,60,82.831673
-108.644116,48,82.888603
-124.121055,111,83.043557
-113.331572,64,83.116732
-106.74848,66,83.223553
