#{"t_start": 1574294599.128958, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-23.79859,80,0.887501
-232.705334,81,1.23068
-422.753981,132,1.394116
-327.941238,116,1.536904
-314.351757,91,1.622699
-69.40747,107,1.752473
-33.192897,85,1.862215
-87.332635,114,2.004137
-75.458908,94,2.122546
-246.257821,86,2.203981
-47.704083,89,2.31739
-65.932853,105,2.450514
-68.610314,92,2.53845
-58.078447,101,2.662685
-321.334604,169,2.894799
-69.279714,103,2.995138
-339.534567,121,3.141274
-401.578087,91,3.256821
-231.447564,119,3.402
-184.721414,108,3.53446
-112.197782,127,3.688055
-449.237243,156,3.874312
-116.011362,69,3.966702
-89.346547,84,4.046163
-316.792362,110,4.18378
-416.2956,85,4.290545
-654.432316,141,4.461082
-197.230953,117,4.617703
-60.299529,133,4.77701
-319.843963,169,4.976874
-67.465568,79,5.08168
-156.764154,92,5.169765
-246.894191,122,5.32022
-136.674641,204,5.596816
-160.785307,94,5.715031
-243.453508,107,5.844435
-65.457095,85,5.924458
-268.864802,98,6.052948
-176.069333,101,6.175231
-477.675521,164,6.375102
-349.715433,177,6.586725
-51.665331,88,6.698302
14.412377,1000,9.096522
-76.047515,115,9.23905
-60.851686,73,9.306743
-177.558954,159,9.528206
-28.280891,102,9.622481
-52.644902,100,9.749188
-99.145766,100,9.874772
-187.834683,108,10.002603
-285.875554,183,10.22432
-223.986293,185,10.486145
-111.545968,97,10.577121
-79.106424,126,10.731829
-444.962643,151,10.946193
-215.37778,156,11.13044
-431.686987,144,11.308161
-249.272119,131,11.466408
-141.770977,107,11.597259
-487.57317,167,11.794775
-189.087162,104,11.929221
-388.240283,102,12.056124
-65.06197,77,12.129781
-211.103839,134,12.29181
-138.230662,91,12.408511
-183.414162,183,12.662505
-373.834419,205,12.919306
-76.199895,118,13.066063
-58.97576,102,13.201883
-90.049978,153,13.391841
-238.282109,130,13.556021
-111.355277,135,13.730124
-163.662481,156,13.92067
-67.164649,103,14.055959
-304.407559,110,14.195835
-85.633998,214,14.496186
-184.742706,171,14.713748
-55.511362,138,14.885617
-85.398665,115,15.025899
-234.857922,134,15.191687
-309.43329,213,15.4862
-15.011265,165,15.68829
-80.454905,129,15.848953
-55.096747,131,16.009974
-44.762273,101,16.140097
-99.103544,176,16.361701
-332.147745,215,16.669253
-439.359873,193,16.9091
-188.918245,147,17.116659
-357.953336,219,17.403191
-41.805272,103,17.537136
-474.595894,192,17.813484
-307.244464,193,18.059031
-273.909282,109,18.196821
-240.860982,124,18.347472
-207.931812,110,18.489529
-129.675323,171,18.706481
-96.876696,166,18.916336
-100.012236,118,19.066116
-60.804864,78,19.168216
-131.752853,168,19.378892
-149.710475,134,19.551721
-151.163051,136,19.723465
-326.365037,174,19.97133
-68.155381,114,20.117446
-117.068549,159,20.314808
-329.449623,279,20.716619
-19.025982,135,20.88343
-161.392056,246,21.247395
-405.03294,241,21.579008
-110.598381,204,21.832412
-82.139366,208,22.131558
-98.551291,149,22.317243
-18.65199,197,22.59984
-223.825184,188,22.838113
9.502386,143,23.019316
-122.47097,249,23.386757
-19.502334,156,23.610159
-284.237863,192,23.851136
-303.696571,299,24.324172
-66.765222,138,24.49746
-12.705145,97,24.625453
3.332098,125,24.783061
-65.446994,147,24.967348
-25.838103,136,25.143785
6.554179,111,25.287
-59.037169,110,25.424749
-115.026619,199,25.705568
-296.95012,622,26.866215
-76.409917,203,27.113043
-205.057189,187,27.37718
-84.986602,175,27.60294
-271.370081,266,28.000614
-64.361186,155,28.194757
19.824096,106,28.331534
-271.659345,206,28.629282
-295.665718,258,29.018892
-13.978918,209,29.305139
-18.651862,85,29.420154
-231.093857,355,29.988788
-405.910463,317,30.494553
-19.104209,177,30.750925
-17.186747,161,30.948178
-38.731926,321,31.415838
-3.699993,99,31.544797
-50.456393,125,31.700658
-234.169371,154,31.894692
-240.391456,206,32.187278
20.541358,92,32.310911
-308.628676,274,32.716274
-76.661296,210,32.981814
-63.966123,139,33.182569
-73.089788,150,33.37301
-267.546433,253,33.774182
-4.612175,220,34.059241
-4.787485,168,34.303564
20.465394,184,34.536679
-28.625549,80,34.644344
1.27323,212,34.920809
-241.675234,245,35.285463
19.779776,118,35.4384
-56.948279,291,35.906044
-0.975193,113,36.028442
-42.558795,206,36.325512
-45.179642,169,36.54789
-1.712387,1000,40.014658
28.879891,154,40.216517
-2.434873,214,40.518457
26.937276,1000,43.366751
39.332337,107,43.51437
-251.396604,239,43.86542
9.865268,1000,46.538966
-66.388687,182,46.814877
46.276573,1000,49.276277
-301.484691,685,50.965522
116.268926,1000,53.28306
-1240.383091,982,55.84732
-479.069278,687,57.428582
-541.124855,389,58.040714
-466.625907,393,58.713486
-213.641211,450,59.440633
32.407114,208,59.753487
-15.578026,262,60.163628
-3.02085,237,60.516639
124.811623,764,62.239901
129.264368,872,64.946195
-21.904864,374,65.597107
-20.505027,1000,67.886429
29.986429,323,68.429241
-77.79146,729,69.922348
-174.517707,1000,73.530087
-45.652841,1000,75.780471
135.266858,675,77.753044
-48.698285,1000,80.053397
-202.998974,1000,82.543191
-28.237414,1000,86.133679
-59.486834,1000,89.583617
-137.03549,1000,92.733461
-129.894861,1000,96.48282
-56.848141,1000,99.339591
-90.398174,1000,103.31911
-15.218716,1000,106.667355
-101.924013,1000,109.259485
-89.066944,1000,112.140995
-75.26008,1000,114.849772
-43.514607,1000,117.649553
-30.113015,1000,120.139505
-51.44143,1000,123.213189
-11.386041,1000,125.964394
-39.061294,1000,128.932377
-65.445379,1000,132.975601
-11.052619,1000,135.375302
-65.542963,1000,139.307935
-38.687887,1000,142.636098
-88.247965,1000,146.032426
-42.593186,1000,149.359155
-29.425124,1000,152.342164
-25.354297,1000,155.469015
-10.372309,1000,159.193913
-47.73572,1000,162.459227
-20.718644,1000,165.130914
-20.64349,1000,167.590751
2.15951,1000,171.02719
-49.591962,1000,174.237597
139.438376,732,175.811024
39.256473,1000,178.521866
99.141103,794,180.897221
26.895998,1000,184.351844
38.554883,1000,188.307356
59.092655,1000,190.409036
77.572186,837,192.628617
99.463613,834,194.359555
18.925902,1000,197.855686
-107.724648,593,199.167598
99.829589,919,201.149738
43.917916,1000,203.56839
38.794009,1000,206.254081
42.608141,1000,209.424073
112.752933,1000,212.727354
57.858961,1000,215.421827
143.747818,810,218.077078
4.697033,1000,221.183807
37.498164,1000,223.933077
88.975041,1000,227.143322
17.853181,1000,230.270154
170.623628,699,231.948153
90.183638,1000,234.27867
59.95345,1000,237.554276
47.785536,1000,240.829153
-118.261445,603,242.212192
57.389917,1000,245.498116
62.745702,1000,248.560077
101.602333,657,250.206214
-69.037144,557,251.402127
62.8759,1000,254.178048
-90.595735,683,255.73084
70.581107,1000,258.104087
-105.266422,797,260.081795
93.900097,875,261.992801
42.95915,1000,265.143507
-43.937613,1000,267.291674
-43.428712,1000,270.549682
117.694064,926,273.355237
122.034493,728,275.250753
93.900217,1000,278.226155
61.991982,1000,280.614775
