#{"t_start": 1574104827.134836, "env_id": "MountainCarContinuous-v0"}
r,l,t
-52.812555,999,1.806908
-51.365001,999,2.664884
-50.41257,999,3.51573
-53.467983,999,4.362714
-57.742031,999,5.200612
-52.035273,999,6.009548
-49.217256,999,6.847594
-47.123335,999,7.687706
-45.071054,999,8.528504
-44.166849,999,9.366641
-41.507195,999,10.17784
-41.383001,999,11.020522
-41.431938,999,11.857569
-40.634908,999,12.697926
-38.38982,999,13.538836
-35.97764,999,14.350291
-36.311163,999,15.192568
-35.747882,999,16.040778
-34.231749,999,16.88732
-30.087874,999,17.729854
-32.051907,999,18.544137
-29.052018,999,19.390785
-29.491898,999,20.23472
-28.918027,999,21.081433
-26.325089,999,21.922072
-24.627729,999,22.738919
-24.100436,999,23.577135
-23.41592,999,24.419992
-22.309087,999,25.25782
-20.366136,999,26.096305
-20.979417,999,26.923422
-18.420268,999,27.7911
-17.090437,999,28.652364
-19.257299,999,29.515877
-16.059083,999,30.363963
-16.454562,999,31.200889
-15.91948,999,32.053967
-14.77988,999,32.901515
-13.677574,999,33.743353
-13.074691,999,34.585328
-13.043032,999,35.392668
-12.326057,999,36.235294
-11.677784,999,37.077557
-10.470343,999,37.916883
-10.576455,999,38.756651
-9.422777,999,39.602375
-9.242681,999,40.420758
-8.652317,999,41.254527
-8.598684,999,42.097263
-8.56172,999,42.94308
-7.008728,999,43.782211
-7.04363,999,44.594214
-6.314288,999,45.436056
-6.397826,999,46.277127
-6.238063,999,47.121364
-5.861363,999,47.963834
-5.427426,999,48.775721
-5.496733,999,49.620773
-4.906983,999,50.463517
-4.629412,999,51.304721
-4.46301,999,52.146425
-4.401128,999,52.959957
-4.56116,999,53.80253
-4.021707,999,54.654626
-3.676733,999,55.497943
-3.373991,999,56.338335
-3.374367,999,57.152468
-3.318368,999,57.995346
-3.059893,999,58.835234
-3.090387,999,59.685842
-2.845514,999,60.526309
-2.750846,999,61.339203
-2.548666,999,62.180292
-2.450956,999,63.020593
-2.383487,999,63.86166
-2.383752,999,64.702236
-2.17098,999,65.5133
-2.108922,999,66.356865
-1.99824,999,67.197521
-1.964163,999,68.03933
-1.78987,999,68.876148
-1.951747,999,69.684109
-1.828839,999,70.526828
-1.642064,999,71.374035
-1.585399,999,72.215624
-1.544734,999,73.056175
-1.428852,999,73.896358
-1.278399,999,74.707327
-1.319642,999,75.551223
-1.304248,999,76.400333
-1.231908,999,77.253013
-1.08196,999,78.093974
-1.01947,999,78.906751
-1.062521,999,79.745782
-0.977929,999,80.585407
-0.902351,999,81.427071
-0.923426,999,82.269012
-0.868423,999,83.078301
-0.822937,999,83.919502
-0.890517,999,84.761104
