#{"t_start": 1574124591.195837, "env_id": "BipedalWalker-v2"}
r,l,t
-78.115903,1600,8.711056
-112.694723,74,9.04161
-119.491284,88,9.424993
-80.959535,1600,16.356908
-120.27406,86,16.724244
-107.372873,66,17.005108
-107.690122,88,17.379711
-113.053319,51,17.603117
-80.029747,1600,24.777515
-83.043402,1600,31.765666
-82.603751,1600,38.693357
-126.389061,135,39.27578
-105.647161,51,39.500166
-156.651249,937,43.584715
-105.390952,73,43.899788
-115.061642,91,44.291328
-106.199493,63,44.567191
-109.234192,54,44.803096
-104.043614,54,45.039574
-108.514522,64,45.317145
-142.676424,790,48.902929
-104.582078,57,49.15748
-104.371554,44,49.353663
-98.28271,101,49.801755
-104.067177,68,50.106584
-94.760014,1600,57.156925
-163.671329,1041,61.784255
-103.982922,72,62.107929
-103.778778,1600,69.215162
-103.870903,1600,76.277491
-190.757247,1345,82.084622
-114.356293,61,82.36101
-136.845119,196,83.227876
-114.412035,94,83.646714
-121.493078,125,84.19401
-114.819086,72,84.500911
-107.847729,59,84.773833
-161.828808,793,88.364363
-103.635495,63,88.647259
-70.487205,1600,95.690208
-111.758857,83,96.068435
-82.263513,1600,103.056153
-113.796741,44,103.251181
-100.025649,1600,110.304536
-108.763758,59,110.565496
-113.297689,41,110.752061
-109.251147,64,111.039159
-109.082787,74,111.362678
-110.194267,53,111.598635
-125.246701,54,111.839563
-111.871113,39,112.016535
-118.277761,46,112.220563
-114.173472,1600,119.265324
-208.527346,1153,124.347527
-128.28112,116,124.860971
-191.658272,942,129.043314
-149.243428,387,130.756581
-252.409634,1548,137.622631
-105.520931,71,137.937672
-132.700515,1600,144.930049
-101.972435,68,145.232229
-104.601992,64,145.521137
-102.104379,85,145.900784
-131.695875,1600,152.993821
-122.6057,1600,160.14007
-109.749536,1600,167.180956
-104.723298,71,167.490881
-94.762636,1600,174.643165
-70.824615,1600,181.729047
-32.701937,1600,188.797515
-54.135861,1600,195.755127
-75.636016,1600,202.692452
-102.487713,1600,209.756077
-92.328126,1600,216.841458
-89.392058,1600,223.850547
-89.83568,1600,230.939785
-101.900549,1600,238.015152
-100.310424,107,238.493021
-111.673574,1600,245.535502
-100.547071,1600,252.604086
-104.268372,85,252.983709
-101.978279,83,253.350106
-165.41043,647,256.258298
-101.377169,78,256.605485
-103.111883,77,256.951996
-122.79497,1600,264.130028
-104.324237,64,264.418809
-111.068187,178,265.208156
-104.261164,61,265.482354
-139.019481,1600,272.661065
-133.782177,1600,280.41515
-106.670648,82,280.817793
-105.881788,125,281.437311
-108.945943,1600,289.7914
-91.083047,1600,297.965421
-76.458975,1600,305.626821
-91.21676,1600,313.982189
-105.036405,1600,321.566766
-121.890934,1600,328.532755
-124.924957,1600,335.502269
-130.615158,1600,342.448557
-111.161689,1600,349.422523
-112.237287,1600,356.317117
-102.501083,1600,363.329592
-88.276844,1600,370.3088
-89.974853,1600,377.300839
-88.284857,1600,384.258842
-58.092178,1600,391.27674
-42.516013,1600,398.192229
-93.022145,1600,405.146735
-141.441231,1394,411.032242
-23.157822,1600,417.954592
-51.809507,1600,424.985125
-78.0824,1600,432.07555
-87.675265,1600,439.154072
-95.653246,1600,446.221242
-90.782012,1600,453.246468
-91.420745,1600,460.201573
-97.401174,1600,467.123924
-178.531461,1293,472.686629
-110.685482,70,472.992556
-124.531578,116,473.492389
-108.071491,96,473.911984
-135.034532,1600,480.941194
-135.365644,1600,487.838395
-107.056885,1600,494.857602
-111.084507,1600,501.816109
-117.141826,1600,508.782399
-108.64891,108,509.244558
-126.530853,1600,516.131663
-160.139655,1003,520.411932
-127.607513,479,522.43496
-108.901367,128,522.994436
-114.013501,119,523.508606
-122.198115,220,524.446048
-119.371717,157,525.11455
-124.205347,326,526.50593
-112.670063,90,526.896806
-148.118088,751,530.086028
-95.529012,1600,536.99965
-145.83729,333,538.404016
-98.520833,1600,545.454128
-124.341754,1600,552.456817
-72.277283,1600,559.454118
-111.696282,1600,566.411973
-109.462008,1600,573.454256
-114.720497,1600,580.44129
-106.64663,1600,587.395883
-108.221861,1600,594.215954
-113.739738,1600,601.218626
-117.782655,78,601.561508
-114.279884,1600,608.562556
-123.399669,1600,615.611167
-124.244155,1600,622.569278
-121.128289,1600,629.442053
-72.703204,1600,636.360349
-88.393704,1600,643.258571
-87.920171,1600,650.180568
-109.098768,1600,657.023277
-90.247055,1600,663.897024
-98.656999,1600,670.759281
-127.727542,47,670.962917
