#{"t_start": 1574322396.451693, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-179.854998,115,2.053977
-170.810195,96,2.44671
-406.393961,145,3.05005
-226.323382,129,3.580611
-294.285274,103,4.009311
-89.344772,81,4.340278
-87.169149,114,4.818906
-556.850682,93,5.203377
-232.859451,126,5.728415
-242.704838,130,6.268279
-329.850302,106,6.699096
-255.949705,184,7.476822
-248.367758,141,8.088301
-160.283777,86,8.437019
-254.295818,137,9.003533
-204.438634,210,9.903508
-80.051542,196,10.750579
-419.945561,174,11.486937
-272.708796,129,12.028497
-326.475814,134,12.59199
-214.112557,122,13.101889
-204.111653,188,13.932147
-172.629956,190,14.750764
-154.724213,136,15.331023
-464.23925,127,15.864538
-511.135124,126,16.395249
-208.045609,137,16.975066
-76.15787,326,18.514659
-279.511487,118,19.008676
-199.314864,136,19.597634
-66.689893,164,20.298724
-165.973798,161,20.997918
-187.73021,135,21.579115
-92.546159,178,22.354444
-84.929813,204,23.264117
-281.066332,331,24.876968
-37.15447,548,27.768784
-119.771997,187,28.573833
-90.935501,393,30.535573
-194.391164,661,34.470393
-177.948785,384,36.33476
-102.153267,93,36.723303
-215.034412,221,37.690122
-203.950599,223,38.674028
-189.270841,267,39.911325
-238.288439,301,41.318437
-95.496644,304,42.69747
-117.618253,137,43.271638
-140.454058,245,44.333719
-197.182299,266,45.537409
-220.477599,232,46.547811
-85.626999,171,47.319821
-81.055441,165,48.008239
-187.841933,456,50.31949
-112.649474,290,51.622684
-90.816011,242,52.702204
-47.081549,161,53.382519
-41.093726,100,53.798745
-110.436144,323,55.244081
-142.86918,826,60.313859
184.729707,222,61.279219
0.450962,97,61.682172
-157.625794,407,63.555854
-175.806976,520,66.23841
-186.340371,410,68.190167
-253.014986,697,72.19787
-181.899459,543,74.945808
-136.149573,420,77.011894
-211.54964,682,80.831942
-115.910727,535,83.669357
-59.905835,1000,90.201907
-59.052302,276,91.480506
-253.463869,663,94.870117
159.591628,988,101.525686
-130.460427,501,104.100242
5.635748,1000,110.50449
-4.620961,1000,116.045702
-47.301406,435,118.351949
-154.830633,624,121.682889
144.46252,655,125.13202
66.683228,1000,130.87562
-102.986033,1000,136.257638
-62.490259,1000,142.531702
-170.894069,362,144.27865
-52.212348,248,145.410476
-104.164271,1000,151.105529
254.748266,569,154.302966
235.520247,515,156.824121
-16.146368,1000,162.744273
-91.148773,437,164.787634
-27.17591,1000,172.317701
13.480463,1000,178.121267
-18.055513,1000,184.072136
-56.985584,1000,189.721749
-55.075276,1000,195.732543
-38.949244,1000,201.593698
-58.868937,1000,206.60697
-97.766877,1000,211.996032
-42.857388,1000,217.820447
-60.083964,1000,223.225469
-91.164899,1000,230.131302
-46.261629,1000,236.288769
-132.801528,1000,243.171345
-87.479139,1000,248.371187
-133.137883,1000,254.12015
-55.148701,1000,259.644871
-28.329179,1000,265.420325
-67.326504,1000,271.077085
-21.671115,1000,276.799577
-69.569625,1000,282.550138
-42.781641,1000,288.443844
-37.076265,1000,294.556903
-93.565904,1000,300.717605
-26.765728,1000,307.794205
-63.084453,1000,313.771835
1.951991,1000,320.11687
-86.413676,1000,326.755863
-40.274356,1000,333.523202
-32.116147,95,333.910036
-81.050222,1000,340.192318
-28.648657,1000,346.868153
-48.356137,1000,353.465328
-104.904134,1000,359.702221
20.321725,1000,365.716713
14.554126,1000,372.910524
-113.937845,1000,379.167509
-68.837368,1000,384.61371
-8.788574,1000,390.854916
-50.55796,1000,397.14448
235.559074,518,399.626573
-37.340524,1000,405.380694
-48.750748,1000,412.464945
-67.077358,1000,420.297884
-77.387704,230,421.316503
-28.378528,1000,427.647282
-39.643456,1000,435.377016
-52.133599,1000,442.539562
-11.663867,1000,450.117415
-41.174492,1000,457.577109
-26.14655,1000,462.999737
-183.660974,982,469.282047
-190.032511,713,473.273562
-217.65719,965,478.598216
-21.57889,1000,485.900972
-47.565555,1000,493.487066
-108.117098,591,496.677558
-147.55104,658,499.963912
-143.561167,468,502.147971
-64.436037,1000,508.729995
-79.59676,1000,516.714747
-81.665534,1000,524.147901
-89.768767,1000,530.644722
-56.518769,1000,536.294892
-107.642732,1000,542.033153
-47.18779,1000,549.378056
-55.458295,1000,555.796253
-59.647362,1000,561.686488
-35.904399,1000,567.028622
-24.780219,1000,572.658326
-108.265135,1000,579.024377
-34.696157,1000,584.61945
-63.16307,1000,590.34718
-86.792224,1000,597.364484
-82.761198,1000,603.824232
-96.926325,1000,610.03362
-13.682242,1000,616.624003
-104.086167,1000,622.633627
-71.04094,1000,630.306855
-41.053595,1000,636.103114
-78.143583,1000,642.362587
-33.066646,1000,649.498968
-101.23227,1000,656.093745
-69.686968,1000,664.206403
-57.807046,1000,669.963068
-58.398881,1000,677.422503
-14.919234,1000,682.62693
-48.826117,1000,688.368623
-81.100759,1000,696.117526
-56.055755,1000,701.727307
-70.629283,1000,709.740515
-38.843834,1000,714.80066
-67.733792,1000,722.64812
-32.160026,1000,728.861688
-75.985762,1000,737.060801
-28.654816,1000,743.298491
-3.19632,1000,749.051403
9.900778,1000,756.386989
-27.112705,1000,761.805301
-40.335677,1000,768.900657
-69.639657,1000,776.313277
-16.58494,1000,783.314173
-31.376134,1000,792.006213
-5.472921,1000,799.110493
-4.372868,1000,805.585505
-83.508567,1000,812.866162
-61.111659,1000,820.726621
-15.220128,1000,828.722725
-30.888826,1000,836.842875
-44.484543,1000,843.972081
-53.424323,1000,851.256189
-30.685644,1000,858.795015
13.65105,1000,865.39874
-40.795472,1000,873.087704
-33.162142,1000,880.039375
-25.205042,1000,886.372373
-32.50124,64,886.635997
12.124722,320,888.127948
-34.692883,1000,894.048191
-15.521921,1000,900.643895
-20.922001,1000,906.008078
-13.318146,1000,914.049126
8.028345,1000,922.402774
8.47865,1000,929.328471
-28.870769,1000,934.86532
-28.884423,1000,942.546985
-17.906981,1000,947.700966
-4.120639,1000,954.35982
-48.96735,1000,959.456129
-33.251604,1000,965.117638
-54.385229,1000,972.785211
-26.001748,1000,979.103176
-64.393537,1000,986.995623
-56.685453,1000,993.755432
-40.870897,1000,999.54301
-0.863875,1000,1005.668088
-32.383671,1000,1011.712314
-31.131478,1000,1018.290891
-13.310046,1000,1025.026185
-38.463777,1000,1031.853346
-51.191434,1000,1037.854366
-26.098217,1000,1043.95366
-19.006246,1000,1049.477816
-20.596445,1000,1055.67974
-25.881025,1000,1061.109731
-10.646027,1000,1067.34193
-20.640268,1000,1072.337242
-36.265874,1000,1080.008941
-15.036773,1000,1086.865975
-5.110451,1000,1094.761037
-26.873891,1000,1101.396902
28.714533,1000,1108.114523
-25.182697,1000,1114.786678
-4.108019,1000,1120.888482
144.439823,988,1127.910376
9.177465,1000,1134.711122
6.967849,1000,1140.439338
-105.980607,1000,1146.625709
247.49029,240,1147.694791
269.098262,222,1148.653792
251.761388,241,1149.692138
236.952224,397,1151.615142
0.876066,448,1153.635163
142.265513,582,1156.543616
186.658996,683,1161.266604
246.845076,281,1162.550847
255.473007,300,1163.929119
220.725029,392,1165.899058
219.767195,487,1168.494529
198.065369,519,1171.310588
-373.706226,931,1177.773381
15.664234,299,1179.159926
202.418523,483,1181.798056
260.143129,269,1182.997649
176.195082,428,1185.230333
259.893671,187,1186.029494
261.120926,186,1186.818443
166.527034,558,1189.563651
254.49281,254,1190.72675
207.373014,283,1192.040869
4.704534,408,1194.193623
165.477416,496,1196.603006
281.685503,212,1197.543098
259.501267,295,1198.841706
287.252843,220,1199.806947
243.072939,240,1200.87694
215.08011,413,1203.026827
252.724591,193,1203.842682
229.113675,410,1205.664143
124.419399,1000,1210.624357
309.570196,276,1211.850952
247.753505,237,1212.931077
272.358658,179,1213.703513
66.028566,191,1214.537082
288.075331,554,1217.369767
249.897279,198,1218.231182
201.576041,929,1222.493013
206.149293,320,1223.985999
245.143211,210,1224.894117
-48.927715,1000,1230.008876
-28.289031,170,1230.728836
102.785018,899,1235.631737
255.385804,272,1236.879113
226.657937,236,1237.904044
233.20995,380,1239.767477
193.307709,443,1241.899446
-2.855874,196,1242.734954
-46.079194,1000,1247.629243
12.041793,173,1248.422795
232.340072,415,1250.881798
274.062228,263,1252.058383
278.151589,268,1253.297784
196.35159,438,1255.47184
239.663821,389,1257.342603
189.467595,338,1258.950084
252.284883,302,1260.337071
261.188903,428,1262.495682
229.190115,336,1264.094557
250.107038,278,1265.368767
275.860874,225,1266.347677
240.212449,259,1267.519164
219.694593,363,1269.241813
-149.439251,662,1272.573946
213.065064,513,1275.316824
269.779776,650,1278.419825
252.544741,396,1280.303266
231.176855,304,1281.786069
201.236794,436,1284.018443
230.414496,602,1287.029571
99.760589,767,1291.718754
231.600207,287,1293.056855
21.81541,168,1293.776724
180.244292,418,1295.659647
259.705826,361,1297.438747
203.769317,566,1300.448153
-3.369148,401,1302.337394
258.349442,253,1303.491317
229.139721,640,1306.582573
164.80673,375,1308.559076
225.920453,374,1310.314025
93.858669,616,1313.474068
268.128846,197,1314.31634
215.240366,470,1316.909883
-1.869576,1000,1322.911704
186.468564,740,1327.550349
275.227114,409,1329.447914
207.751417,320,1330.946496
241.242811,330,1332.530488
226.688903,250,1333.659
268.705775,220,1334.618261
274.847918,192,1335.437043
183.702635,667,1339.321591
235.461118,293,1340.663769
-139.934594,548,1343.160042
-5.461389,1000,1348.525218
13.239128,157,1349.182032
246.825216,289,1350.467573
308.9307,307,1351.857313
180.793098,832,1357.432701
240.973691,247,1358.524277
-128.436352,352,1360.109062
226.530964,443,1362.375978
132.834842,953,1368.183934
162.170224,527,1370.773754
223.72959,380,1372.645857
156.034555,887,1377.365326
238.23564,386,1379.279319
169.380411,536,1382.04117
260.750438,260,1383.222004
233.604265,441,1385.479942
242.376524,249,1386.599313
260.162255,266,1387.778731
237.054588,283,1389.111266
129.178521,857,1395.127207
119.29721,1000,1400.56794
202.395494,560,1403.137679
238.202185,379,1404.92243
211.572592,302,1406.352789
248.360901,389,1408.253721
108.79441,896,1413.82736
223.977191,243,1414.924057
252.232073,215,1415.872903
-1.955193,1000,1422.271266
273.604679,361,1423.994036
283.343873,215,1424.910453
250.368766,231,1425.911588
256.975016,224,1426.900632
231.074954,268,1428.146696
259.276035,222,1429.117366
256.833237,211,1430.047414
216.8635,288,1431.384942
249.465588,410,1433.399425
266.228972,280,1434.644729
190.607947,673,1438.183817
284.147272,273,1439.410627
197.229727,431,1441.781851
117.52965,1000,1446.764944
217.006877,282,1448.079974
294.031126,294,1449.382561
245.12066,221,1450.343575
251.395212,377,1452.191556
262.31632,343,1453.705081
191.279497,458,1455.989694
205.192543,534,1458.543336
250.228226,247,1459.628795
4.082399,161,1460.318462
235.463904,263,1461.537381
298.261751,206,1462.422613
234.188664,381,1464.318565
232.07274,371,1466.102927
277.294274,205,1466.966349
0.001714,1000,1472.416962
271.204261,216,1473.342371
292.370268,206,1474.221114
240.982022,338,1475.850819
-148.161927,548,1478.624879
260.2244,333,1480.158485
271.464551,522,1482.633235
296.109515,301,1483.975966
208.180808,284,1485.31854
234.112069,270,1486.568177
221.991868,291,1487.920018
229.082455,290,1489.306337
274.431359,168,1490.02787
211.826173,482,1492.462252
273.864412,173,1493.20198
293.044217,219,1494.146
314.089653,172,1494.880876
222.650748,215,1495.806106
247.399427,290,1497.079963
230.088943,284,1498.398823
202.45227,558,1501.361534
260.609322,291,1502.649358
229.163778,257,1503.798514
296.139731,223,1504.749275
234.252899,207,1505.661858
247.037835,272,1506.863629
191.571054,449,1509.261563
292.932088,321,1510.710276
301.693714,219,1511.666341
212.971089,566,1514.406778
28.905017,168,1515.121535
170.838923,575,1517.977842
216.923348,530,1520.43148
274.025324,243,1521.484888
52.068161,123,1522.004408
292.614348,323,1523.42887
309.748279,168,1524.132887
18.209585,176,1524.886075
219.648699,258,1526.0242
159.91536,1000,1530.321742
222.661181,277,1531.572651
266.247278,254,1532.690914
255.935703,212,1533.610394
285.727752,241,1534.641511
245.205858,242,1535.697121
312.907096,190,1536.505181
235.338615,217,1537.440145
304.527239,176,1538.192729
274.224743,213,1539.103654
244.412779,294,1540.449073
203.986489,232,1541.456472
182.882533,307,1542.846335
300.589328,176,1543.607258
241.280536,371,1545.264658
204.215152,256,1546.418065
257.772528,153,1547.050659
259.534036,222,1548.038845
237.100581,494,1550.448338
278.179429,184,1551.23618
248.484035,208,1552.138947
269.866662,226,1553.116088
269.691534,182,1553.903939
239.948468,204,1554.771517
271.518234,189,1555.57519
280.97457,214,1556.475678
274.126354,216,1557.393014
244.859434,208,1558.286999
310.766646,171,1559.011417
106.796131,1000,1563.646952
277.363961,273,1564.870899
255.754816,189,1565.655727
239.861087,167,1566.381061
249.066823,270,1567.619901
283.628508,208,1568.497125
215.428198,339,1569.997122
61.656303,151,1570.631232
15.117309,123,1571.148194
233.518378,265,1572.323003
8.985612,152,1572.966857
252.93694,239,1574.02909
290.581937,223,1574.98627
264.811627,189,1575.807231
248.333538,266,1577.025687
47.644347,122,1577.537793
246.222069,228,1578.50897
275.675077,209,1579.395935
183.588604,420,1581.326362
246.562355,176,1582.061607
273.557312,179,1582.806576
230.786343,304,1584.185905
207.211316,821,1588.209939
259.248797,191,1589.014301
215.821364,451,1591.131812
276.634586,206,1592.029494
280.567277,144,1592.629208
272.457348,189,1593.419783
16.802867,176,1594.181428
292.445005,181,1594.96753
280.745784,817,1599.334066
-7.751583,145,1599.94059
35.097315,174,1600.691469
249.693057,163,1601.365966
226.011496,202,1602.251927
269.083803,177,1602.995626
253.543117,267,1604.20666
262.138748,179,1604.950968
259.988842,190,1605.743496
263.153563,164,1606.43517
24.800732,154,1607.082816
191.712361,255,1608.246862
-148.455272,726,1611.724982
224.930745,231,1612.741386
279.299465,161,1613.425767
268.222911,171,1614.158558
40.895258,155,1614.82943
234.899377,273,1616.040476
252.841037,193,1616.872684
306.130814,192,1617.720265
246.05066,222,1618.69411
234.92675,220,1619.657399
206.508671,241,1620.734601
250.961041,187,1621.529726
259.753308,196,1622.347646
203.7227,291,1623.669389
237.18894,328,1625.211767
266.382482,173,1625.941318
205.50989,216,1626.888058
7.677883,133,1627.442179
219.307774,301,1628.803653
313.641477,216,1629.730915
248.354836,192,1630.541407
281.792197,560,1633.337559
237.097211,348,1634.942723
248.552939,210,1635.836382
117.278779,1000,1640.619142
-13.174067,135,1641.183317
211.196762,525,1643.808786
278.662119,197,1644.649368
23.651032,323,1646.165301
219.362577,235,1647.202572
242.495086,237,1648.245773
-39.671891,1000,1654.370587
29.723163,148,1654.996782
119.330253,872,1660.055243
264.756778,197,1660.918736
257.20553,219,1661.898721
126.529819,882,1667.422953
225.178707,594,1670.215154
252.835371,191,1671.041477
244.03392,209,1671.952651
235.375602,440,1674.161931
243.531347,308,1675.599262
210.881416,186,1676.427629
269.943955,180,1677.23048
260.575698,264,1678.457767
291.025064,178,1679.226531
-23.980208,140,1679.814874
248.897472,217,1680.75508
292.664397,178,1681.518854
-3.932887,1000,1688.268347
281.185397,216,1689.199352
270.353577,334,1690.752959
35.489817,152,1691.389291
243.578418,376,1693.332231
276.157223,217,1694.261533
277.293031,182,1695.037522
278.156413,219,1695.969719
249.525892,225,1696.955834
279.888679,224,1697.906432
261.444386,229,1698.911107
201.143646,252,1700.029188
245.229947,207,1700.900042
264.645896,250,1701.988453
246.794229,254,1703.130327
242.65685,257,1704.291605
247.269028,265,1705.519427
260.991632,211,1706.415212
228.884505,539,1709.104908
287.129568,169,1709.849348
221.945171,507,1712.556597
230.767265,328,1714.03726
283.053302,277,1715.275026
265.643223,288,1716.577407
-69.643848,1000,1723.443301
279.067204,165,1724.13854
250.125668,251,1725.272547
252.822115,203,1726.162532
233.801389,199,1727.017433
294.851214,165,1727.711954
268.583208,289,1729.022789
-46.024083,1000,1734.363571
205.023727,737,1738.634633
256.189971,436,1740.771141
229.523019,233,1741.795928
255.449213,413,1743.74129
284.572782,539,1746.195641
257.473058,294,1747.507591
232.319949,262,1748.711039
268.757788,289,1750.031155
277.45418,297,1751.349196
201.672674,366,1753.10805
245.572787,286,1754.441178
261.148193,247,1755.553442
243.189322,217,1756.498308
268.740805,279,1757.749653
243.001546,215,1758.719775
252.820122,254,1759.876528
273.232498,212,1760.805703
288.020766,231,1761.801457
258.712952,215,1762.755094
287.405996,171,1763.493977
204.157427,693,1766.860808
262.162019,200,1767.738512
156.675299,884,1772.488325
274.270994,191,1773.295896
283.813773,172,1774.035595
-28.612865,1000,1780.616357
172.624641,1000,1785.772898
260.760372,182,1786.55135
241.636369,224,1787.518186
