#{"t_start": 1574102828.126208, "env_id": "MountainCarContinuous-v0"}
r,l,t
-34.091767,999,5.063661
-31.938196,999,8.721404
-33.692615,999,12.414654
-32.03509,999,16.105532
-30.927446,999,19.794833
-31.707707,999,23.605537
-28.773035,999,27.320816
-27.334716,999,31.020495
-25.110049,999,34.732778
-23.76025,999,38.434334
-17.928159,999,42.167187
-14.919783,999,45.837741
-10.873408,999,49.510786
-7.790408,999,53.175686
-6.603762,999,56.838221
-4.948935,999,60.505111
-3.822769,999,64.17252
-2.615135,999,67.838191
-2.511714,999,71.511838
-3.069346,999,75.196577
-2.074019,999,78.864572
-2.447591,999,82.511008
-2.56345,999,86.154393
-2.380788,999,89.795802
-2.789792,999,93.428402
-2.463764,999,97.069653
-1.631961,999,100.71342
-1.185395,999,104.548902
-1.139262,999,108.274048
-0.907312,999,111.927119
-0.966874,999,115.585024
-0.914165,999,119.22764
-1.121513,999,122.88002
-1.131602,999,126.567527
-1.216866,999,130.248504
-1.36972,999,133.975017
-1.332054,999,137.65405
-1.052902,999,141.347699
-1.198468,999,145.010706
-1.324924,999,148.666832
-1.041875,999,152.326177
-1.115119,999,155.96519
-0.872991,999,159.604954
-0.923538,999,163.247221
-0.830654,999,166.894888
-0.903588,999,170.548701
-0.978395,999,174.194517
-0.88631,999,177.825741
-1.032712,999,181.459658
-1.034811,999,185.205924
-1.029196,999,188.930286
-0.979066,999,192.589176
-0.969294,999,196.241437
-0.820773,999,199.894296
-0.864839,999,203.548613
-0.889365,999,207.19623
-0.714445,999,210.838771
-0.82415,999,214.492202
-0.919053,999,218.153425
-0.836259,999,221.793576
-0.882052,999,225.476659
-0.76807,999,229.17495
-0.764315,999,232.831045
-0.795978,999,236.479451
-0.830825,999,240.139139
-0.771372,999,243.793017
-0.794111,999,247.451492
-0.774417,999,251.133627
-0.902915,999,254.819224
-0.826808,999,258.510094
-0.885936,999,262.185302
-0.841082,999,265.821362
-0.809503,999,269.468358
-0.722946,999,273.114837
-0.817153,999,276.769031
-0.738545,999,280.419615
-0.803596,999,284.064503
-0.795701,999,287.743919
-0.744753,999,291.43854
-0.798036,999,295.121326
-0.825616,999,298.800614
-0.829973,999,302.446078
-0.819733,999,306.104961
-0.806062,999,309.78619
-0.78341,999,313.448276
-0.791157,999,317.089866
-0.833041,999,320.744737
-0.832099,999,324.392185
-0.742238,999,328.05815
-0.791948,999,331.738025
-0.78564,999,335.417526
-0.781343,999,339.077325
-0.845495,999,342.732934
-0.798701,999,346.418624
-0.862406,999,350.08014
-0.823868,999,353.736627
-0.813278,999,357.381594
-0.757102,999,361.046261
-0.81702,999,364.692529
-0.752258,999,368.357064
