#{"t_start": 1574130213.622357, "env_id": "BipedalWalker-v2"}
r,l,t
-99.876608,102,1.018718
-103.009421,70,1.140307
-100.341289,1600,3.708765
-114.558813,79,3.832195
-103.912649,67,3.935982
-100.164751,67,4.039822
-108.819001,77,4.158875
-127.425296,91,4.297032
-116.347025,52,4.380126
-106.559387,46,4.458088
-106.12374,72,4.569997
-126.193712,1600,6.994288
-112.898559,130,7.194302
-118.261492,69,7.300338
-114.095096,83,7.425794
-113.392642,75,7.544238
-117.961827,92,7.687357
-106.688164,85,7.82032
-105.913263,80,7.944082
-107.46238,87,8.078439
-111.360005,72,8.192015
-106.887991,66,8.294184
-101.908658,72,8.406487
-108.972236,41,8.472894
-111.482694,1600,10.893367
-92.645141,1600,13.291675
-79.296201,1600,15.673833
-69.107257,1600,18.088955
-95.729835,106,18.253689
-103.151454,83,18.382563
-121.27276,332,18.884372
-98.778573,92,19.025552
-100.800843,47,19.100917
-99.070719,76,19.220652
-101.513648,66,19.324848
-100.839651,66,19.428449
-115.670655,59,19.522778
-116.353701,60,19.618409
-102.218819,57,19.707564
-102.022067,45,19.779367
-99.341492,64,19.880055
-98.50914,97,20.02979
-100.232855,56,20.119995
-103.612931,59,20.212749
-99.666994,168,20.467166
-102.277992,62,20.563519
-103.411688,65,20.666028
-100.150191,89,20.802844
-100.593556,112,20.973461
-101.102309,45,21.04631
-101.786573,53,21.128956
-105.14669,74,21.242751
-102.066811,56,21.329477
-103.919325,42,21.397933
-105.291341,50,21.476779
-104.432748,45,21.55272
-102.694519,49,21.629041
-104.799659,64,21.729236
-102.102079,53,21.814662
-103.049491,46,21.889322
-103.006855,50,21.967924
-103.87486,46,22.040482
-101.993825,50,22.119959
-101.475866,51,22.200856
-105.562512,47,22.276732
-103.28576,44,22.35021
-102.199878,53,22.432147
-103.013345,41,22.497224
-102.78256,47,22.571919
-105.053424,57,22.659147
-103.934492,40,22.726157
-102.387575,55,22.811242
-102.747489,51,22.890864
-102.911413,52,22.97353
-102.021412,51,23.052417
-102.771089,48,23.128368
-103.645803,52,23.209071
-103.501662,39,23.271634
-103.389698,68,23.375348
-100.716268,57,23.465005
-103.126584,43,23.536687
-103.703082,48,23.615684
-101.284385,50,23.694745
-101.53703,48,23.770897
-108.838981,80,23.893194
-100.677324,71,24.002342
-104.834426,52,24.083397
-103.077111,51,24.162539
-103.789707,47,24.237511
-105.6877,157,24.473009
-102.593087,52,24.554893
-103.711139,57,24.642934
-103.821642,53,24.726973
-103.17937,50,24.805876
-103.993645,39,24.866224
-109.579851,216,25.190922
-103.232743,49,25.266494
-104.309744,69,25.372855
-104.820753,60,25.465979
-103.891683,44,25.535908
-102.546549,51,25.615126
-109.693171,304,26.07109
-125.161676,1600,28.459237
-133.499793,1600,30.834646
-243.179765,1462,33.019383
-100.327837,107,33.185106
-99.841756,64,33.286502
-135.738173,1600,35.667474
-100.908244,61,35.762603
-146.486009,1600,38.157507
-115.357146,102,38.313756
-100.552626,66,38.41618
-102.380284,58,38.508915
-97.45739,78,38.628981
-116.593716,55,38.715308
-100.454376,74,38.829093
-100.154821,67,38.936415
-100.299384,65,39.038598
-104.657651,72,39.151054
-103.129378,90,39.292049
-99.552027,75,39.409312
-103.946102,55,39.495355
-101.965761,70,39.604946
-101.233774,68,39.711229
-101.500552,75,39.8291
-103.77482,59,39.921135
-100.348779,64,40.021168
-100.215692,56,40.111318
-104.364563,102,40.2694
-105.738909,97,40.419036
-105.547308,100,40.573279
-100.181596,74,40.689592
-100.471,72,40.80342
-101.577624,115,40.979025
-99.651213,59,41.070016
-102.950808,85,41.203539
-102.858116,79,41.327334
-101.59816,63,41.427589
-104.563621,56,41.516213
-105.050812,83,41.647176
-100.429953,64,41.747527
-102.080039,67,41.854051
-103.190077,81,41.979879
-101.293445,63,42.079922
-104.143905,95,42.227461
-100.350148,61,42.323857
-104.815716,69,42.429827
-100.289126,65,42.532183
-103.046698,74,42.646337
-100.858378,67,42.752209
-102.927118,72,42.863631
-101.705541,79,42.986405
-113.338957,141,43.204699
-101.175292,72,43.318566
-104.189258,105,43.480172
-100.886394,58,43.57076
-107.82407,81,43.696186
-100.796201,72,43.80914
-100.194158,61,43.904968
-100.863664,86,44.037408
-111.719696,145,44.260544
-100.523261,68,44.367406
-108.865482,107,44.530303
-107.608758,120,44.71377
-101.551352,87,44.848958
-101.744612,71,44.95938
-103.764813,71,45.069525
-101.957713,65,45.172069
-121.386851,82,45.297407
-104.207372,85,45.430826
-99.74883,60,45.525201
-100.27593,56,45.614916
-103.476449,58,45.704877
-101.723686,64,45.805283
-102.461779,72,45.916033
-104.109587,74,46.032973
-101.85484,68,46.140388
-101.016021,81,46.266786
-104.255173,95,46.414677
-102.325324,78,46.536168
-101.622969,75,46.653121
-145.249618,1600,49.044665
-120.732544,1600,51.45704
-105.277908,64,51.555035
-98.925371,1600,53.952391
-102.123276,62,54.051472
-95.649766,1600,56.442438
-102.016717,71,56.553145
-76.023393,1600,58.904185
-81.299287,1600,61.255401
-78.76969,1600,63.585348
-122.698702,621,64.497948
-81.268069,1600,66.862203
-97.125563,81,66.986269
-58.635956,1600,69.314212
-145.787006,1329,71.246898
-107.282961,113,71.417254
-139.054457,792,72.571378
-59.777594,1600,74.908747
-102.835019,94,75.05241
-66.217004,1600,77.433554
-108.695166,55,77.519554
-72.088112,1600,79.869501
-111.606616,54,79.960886
