#{"t_start": 1574296595.449308, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-438.368024,139,1.078382
-89.66314,68,1.164473
-328.811907,174,1.407422
-106.953451,79,1.506774
-381.472467,98,1.63861
-374.963652,102,1.772225
-50.798637,69,1.882333
-274.83798,115,2.05148
-110.516651,110,2.200445
-351.73884,126,2.367773
-163.312555,150,2.573022
-61.037537,93,2.694141
-290.656838,170,2.930177
-432.420586,86,3.040249
-69.120406,101,3.170799
-518.183403,131,3.346307
-184.605786,160,3.562367
-317.18259,84,3.668459
-313.61811,123,3.832266
-221.808195,97,3.958007
-236.744757,114,4.111854
-139.978793,154,4.330467
-179.795558,123,4.499752
-700.299429,190,4.783361
-222.006393,102,4.931791
-475.618231,92,5.055122
-267.847931,169,5.30271
-492.650211,108,5.446824
-293.539817,168,5.676209
-377.260169,134,5.857822
-73.61592,175,6.101624
-452.964797,125,6.26826
-70.643189,119,6.429421
-147.128352,127,6.602141
-498.807151,126,6.776988
-596.583755,121,6.938037
-250.156295,192,7.220778
-657.809498,163,7.451278
-567.954064,143,7.643352
-621.880423,234,8.00064
-284.596086,133,8.186644
-474.575322,155,8.402768
-204.924823,91,8.525186
-444.943934,196,8.810573
-320.576023,149,9.022921
-634.998591,191,9.303107
-104.700265,159,9.522236
-227.675542,131,9.698871
-263.976905,169,9.938925
-48.530092,105,10.082589
-333.929131,202,10.38474
-298.959178,262,10.817495
-521.578866,171,11.061627
-333.285123,146,11.270745
-512.113792,217,11.606826
-474.86999,203,11.9039
-421.705873,174,12.161153
-245.253489,202,12.461422
-459.516977,210,12.777436
-265.56965,146,12.980457
-337.53156,262,13.386948
-246.956301,177,13.642815
-485.347359,208,13.960407
-439.170941,145,14.16819
-395.164239,153,14.391115
-447.674498,176,14.649697
-268.461181,196,14.942503
-195.951217,136,15.128092
-295.40745,150,15.350707
-486.291836,148,15.56294
-94.447254,99,15.699649
-430.261718,167,15.940461
-577.733274,154,16.165176
-463.443581,182,16.433138
-184.291062,189,16.711204
-660.258116,219,17.03816
-295.294156,130,17.223484
-506.049729,204,17.525026
-557.997558,158,17.741735
-36.233161,106,17.895198
-445.456803,125,18.074541
-384.428209,137,18.268123
-784.910159,150,18.476792
-289.19414,169,18.7197
-323.72466,244,19.110735
-628.363878,142,19.315144
-436.595235,117,19.482543
-334.227496,224,19.824687
-200.644525,90,19.952604
-339.081109,179,20.219663
-475.62828,123,20.396625
-294.046551,120,20.576761
-465.016678,188,20.869023
-485.70983,150,21.082437
-415.592079,140,21.288397
-495.418905,237,21.671839
-241.812132,198,21.968573
-581.42679,141,22.170083
-124.774229,160,22.408998
-418.174019,195,22.695741
-468.623153,122,22.87008
-305.882754,225,23.225076
-594.238297,128,23.410231
-399.542464,147,23.630372
-426.281535,202,23.946492
-340.133175,117,24.113115
-656.149755,305,24.632571
-484.026354,147,24.855102
-355.942014,235,25.225068
-438.551013,130,25.412311
-469.476172,135,25.610546
-133.122393,111,25.767706
-372.336621,139,25.975091
-293.773995,143,26.188245
-320.445185,175,26.445383
-638.279442,181,26.726011
-399.176837,158,26.960649
-271.921438,157,27.191228
-325.822583,136,27.387428
-455.086587,155,27.605023
-397.598342,160,27.845841
-253.279412,85,27.962225
-372.333589,172,28.213941
-240.155329,115,28.375503
-366.986731,103,28.520972
-398.863239,102,28.665791
-422.702721,102,28.810196
-289.882578,145,29.021796
-241.781226,97,29.154593
-528.999064,144,29.36379
-945.498087,146,29.577083
-670.295624,127,29.760446
-507.817285,136,29.955716
-374.638564,173,30.214957
-217.364289,101,30.355196
-402.780441,279,30.828385
-443.553618,144,31.039055
-455.539868,120,31.21618
-627.905793,185,31.497999
-543.336698,196,31.79029
-620.51663,176,32.052681
-776.844462,206,32.376522
-662.530473,146,32.586197
-511.512695,129,32.770435
-545.195327,124,32.945781
-251.713971,106,33.094817
-403.442318,212,33.408141
-511.038325,121,33.581479
-490.492656,132,33.774391
-323.482885,141,33.985541
-373.367161,114,34.14817
-520.80832,143,34.34935
-453.506058,138,34.550715
-458.077765,121,34.726877
-831.283208,196,35.021197
