#{"t_start": 1574121534.418734, "env_id": "BipedalWalker-v2"}
r,l,t
-95.398831,95,0.943396
-121.783154,133,1.401926
-103.157301,1600,3.795864
-81.679048,1600,6.196304
-87.674454,1600,8.489113
-121.273837,110,8.651078
-105.629448,39,8.702321
-85.271516,1600,10.898334
-113.413473,71,11.013025
-108.472553,126,11.187372
-98.540655,1600,13.450323
-112.522059,62,13.577523
-116.628582,42,13.632004
-108.595534,74,13.756769
-113.504058,74,13.849354
-115.005127,75,13.973682
-112.890919,70,14.093545
-124.035053,107,14.223066
-115.85847,56,14.325672
-113.551332,92,14.472126
-110.98121,42,14.525063
-117.995234,102,14.678773
-115.625645,95,14.795465
-122.678917,109,14.960396
-114.672224,95,15.10587
-118.433139,73,15.225695
-117.270438,42,15.280989
-115.509226,40,15.334788
-114.394711,89,15.476155
-111.899121,75,15.600982
-112.309695,66,15.689028
-112.9245,60,15.795729
-112.023845,168,16.026812
-116.297696,54,16.094461
-125.776534,152,16.310342
-114.242642,46,16.397044
-138.102553,257,16.75958
-116.11446,167,16.988047
-113.771977,61,17.099343
-116.28227,78,17.198956
-115.887345,119,17.371323
-113.410333,86,17.507667
-112.978851,98,17.655882
-117.7823,95,17.769954
-112.894716,55,17.869208
-120.844928,50,17.932738
-119.260393,100,18.093249
-115.513031,49,18.154475
-114.712156,54,18.253992
-112.88475,74,18.34509
-113.105085,85,18.481316
-113.723589,57,18.555289
-111.279192,56,18.660353
-109.912535,71,18.746374
-116.391671,43,18.850479
-114.442582,67,18.954668
-112.137548,84,19.088285
-112.055703,64,19.171913
-115.0282,73,19.296563
-116.096777,75,19.423607
-114.144068,136,19.619225
-111.012816,68,19.706816
-114.024823,77,19.835931
-106.011735,50,19.901335
-116.325925,88,20.042034
-113.624767,63,20.124589
-114.037223,54,20.224041
-111.789605,56,20.293287
-114.145886,112,20.462605
-128.909091,188,20.760683
-110.186045,44,20.816565
-115.643454,84,20.951493
-121.848392,160,21.174651
-111.594345,62,21.257255
-111.908224,61,21.367789
-117.862442,142,21.57048
-122.116192,167,21.805659
-114.195274,85,21.945266
-115.079197,55,22.01542
-114.257548,48,22.10995
-121.408995,95,22.231956
-117.685986,58,22.336217
-110.419282,52,22.404746
-108.201247,43,22.496967
-113.269929,62,22.578698
-115.301576,140,22.775811
-113.756375,92,22.921312
-121.736911,161,23.150365
-116.999299,113,23.317486
-109.960503,151,23.532913
-114.940459,88,23.673457
-120.59539,219,23.998475
-105.479228,36,24.048358
-121.922368,140,24.254849
-111.554832,86,24.408325
-109.647233,53,24.488295
-114.629971,43,24.55974
-115.205445,63,24.693008
-113.891127,90,24.847826
-109.664518,53,24.926344
-113.737744,171,25.182381
-120.178006,158,25.436262
-115.971271,83,25.54176
-112.794447,59,25.647778
-112.282475,170,25.88466
-123.82743,194,26.177613
-111.755851,90,26.285787
-117.142114,109,26.451639
-111.631512,94,26.596193
-115.38458,90,26.710858
-112.834959,79,26.84177
-113.230472,96,26.991813
-114.49441,109,27.158215
-93.231216,1600,29.458098
-112.063032,81,29.590855
-116.906686,53,29.658631
-118.98929,90,29.801266
-94.507651,1600,32.181295
-115.880625,65,32.293795
-112.016421,63,32.374407
-115.93231,169,32.652594
-103.231685,1600,34.940892
-124.405744,137,35.139536
-102.150756,61,35.247484
-85.026595,1600,37.602714
-63.184509,1600,39.928064
-69.092666,1600,42.280243
-64.79625,1600,44.592213
-104.008578,81,44.697165
-137.034608,836,45.907744
-64.461825,1600,48.25669
-63.312641,1600,50.654279
-61.787318,1600,52.975219
-64.92026,1600,55.293828
-131.711575,454,55.966804
-126.413068,468,56.624065
-132.903948,464,57.311306
-128.319583,632,58.229329
-143.696016,639,59.205371
-108.606195,115,59.377989
-106.72636,122,59.560421
-31.068582,1600,61.85131
-122.803186,80,61.984583
-120.371193,160,62.21191
-109.382815,58,62.286874
-120.127741,191,62.593044
-132.891052,573,63.408597
-111.453175,105,63.571501
-43.966563,1600,65.930469
-120.849739,74,66.025691
-113.255917,159,66.281529
-125.239839,714,67.287157
-48.941205,1600,69.62493
-44.760113,1600,71.945236
-18.776831,1600,74.216685
-32.337368,1600,76.37593
-26.287319,1600,78.671381
-18.62962,1600,80.975686
-119.949209,841,82.191202
-109.847906,114,82.364839
-113.832118,305,82.812473
-96.704981,106,83.00339
-102.508265,64,83.103722
-107.19864,90,83.273033
-102.54015,239,83.623547
-102.770878,318,84.091344
-118.428388,488,84.797454
-119.759709,649,85.722314
-98.933336,205,86.02775
-100.771967,222,86.35884
16.489385,1600,88.693593
-102.529055,73,88.826769
41.554009,1600,91.1306
-3.533237,1600,93.448679
32.299694,1600,95.782395
-45.776703,1426,97.83675
-107.930492,100,97.991588
-91.226001,101,98.146517
-103.54086,63,98.227874
-91.945992,94,98.37574
-99.786814,75,98.504327
-26.044871,1505,100.646607
-104.864877,74,100.773896
-99.878113,71,100.89866
-126.958505,252,101.267286
-103.089891,56,101.341326
-84.523096,747,102.426733
-103.203122,63,102.509074
-102.642129,94,102.659454
-42.228664,1304,104.523558
44.750858,1600,106.883172
-104.068808,76,106.977881
-103.624677,119,107.158463
-76.643001,779,108.273046
-114.419292,69,108.396714
56.845085,1600,110.682668
-92.209008,328,111.212886
39.594118,1600,113.506618
-102.713162,107,113.670613
53.926502,1600,115.968736
-35.878845,1423,118.091764
-49.336481,882,119.356433
-111.605033,54,119.425028
-91.095761,155,119.649234
-124.018055,90,119.793126
-112.767498,62,119.910844
-124.304508,76,120.014695
-119.407158,80,120.145665
-98.115831,92,120.298059
-101.266704,84,120.402741
-114.934192,105,120.563463
-112.955172,56,120.636957
-115.966205,55,120.738931
-119.168815,65,120.820886
-128.213702,82,120.955248
-125.131679,97,121.10787
-122.445347,71,121.20038
-127.168832,86,121.338215
-121.475875,102,121.498869
-109.838194,123,121.679558
-105.636193,96,121.830036
-120.452115,83,121.932558
-116.473116,63,122.044893
-126.235406,79,122.143348
-115.54515,64,122.254002
-95.37709,114,122.428387
-124.515715,104,122.584585
-121.391332,84,122.737976
-90.246629,155,122.954108
-118.740093,62,123.065981
-117.217851,65,123.148863
-113.281969,55,123.251915
-107.16955,213,123.537427
-117.162332,66,123.651454
-98.552676,166,123.882842
-65.953356,450,124.545574
-114.881877,46,124.60855
-118.02605,69,124.725761
-131.207584,119,124.90451
-132.388398,108,125.034381
-122.282795,86,125.171614
-118.401197,64,125.280604
-85.914007,243,125.595806
-78.591911,632,126.49797
-100.790806,490,127.204543
-108.126568,70,127.322989
-115.375014,62,127.398876
-125.664606,106,127.56003
-111.061231,73,127.684738
-115.07632,61,127.76317
-115.402603,80,127.894802
-116.152422,63,127.984306
-136.150519,112,128.171174
-114.458545,66,128.304072
-136.422143,101,128.43808
-126.920649,94,128.585119
-121.367121,76,128.713739
-105.464797,82,128.81334
-115.460324,93,128.95866
-113.73429,61,129.067169
-135.450297,139,129.269956
-142.448911,395,129.853832
-124.955309,108,130.021241
-117.36551,70,130.108233
-118.056457,64,130.221363
-122.598792,96,130.341268
-113.096548,69,130.461388
-104.523194,68,130.577001
-120.099139,84,130.681863
-119.262201,67,130.797687
-115.093506,65,130.880981
-103.158309,71,131.002249
-98.448666,87,131.112595
-94.359016,146,131.354909
-116.043919,63,131.437178
-115.711637,54,131.506592
-113.765032,75,131.632199
-33.373323,805,132.774389
-113.430519,70,132.893286
-115.593282,101,133.047268
-117.836638,64,133.123905
-119.010812,61,133.234297
-113.756857,69,133.324071
-119.790626,68,133.439323
-102.257297,73,133.530773
-128.886528,91,133.678122
-119.186714,69,133.818244
-105.600991,81,133.937971
-123.385826,80,134.094315
-114.180406,77,134.191223
-128.133321,91,134.336674
-134.169032,104,134.49783
-111.440496,81,134.629532
-119.406777,60,134.706856
-111.197802,72,134.828516
-110.465715,128,135.018229
-108.206289,113,135.157256
-111.842473,70,135.277849
-120.498681,88,135.419724
-95.914173,117,135.59894
-116.005524,76,135.696069
-116.613387,86,135.832551
-98.217274,79,135.963119
-107.697588,92,136.077263
-129.074452,161,136.336926
-120.162666,107,136.469102
-111.61167,54,136.571584
-92.310755,214,136.861464
-117.010122,69,136.9782
-121.122905,70,137.095992
-108.090725,118,137.238992
-108.982164,131,137.431698
-109.871313,65,137.545068
-121.78315,115,137.714358
-109.327105,36,137.763078
-103.339988,46,137.85312
-117.538645,72,137.942525
-114.714925,89,138.088428
-119.813934,69,138.17441
-116.771402,52,138.272739
-114.95781,66,138.35587
-118.350698,69,138.473946
-124.907074,93,138.590149
-119.519685,74,138.715504
-113.217219,108,138.880523
-108.594651,127,139.068132
-120.435745,189,139.331392
-117.914873,57,139.445071
-111.640622,59,139.538907
-120.260406,63,139.666409
-113.57622,71,139.771745
-136.274992,253,140.14649
-111.423848,53,140.24478
-89.581284,148,140.454312
-127.70684,149,140.669685
-109.119332,75,140.796408
-125.735215,89,140.907744
-107.385844,61,141.019103
-113.56868,73,141.112374
-118.716934,60,141.222782
-121.757129,91,141.384078
-113.550737,75,141.488034
-115.501937,72,141.617338
-121.785857,70,141.710878
-122.892999,90,141.861035
-110.191275,81,142.000133
-109.222509,66,142.090322
-124.569493,79,142.229711
-109.27259,69,142.324688
-109.304057,112,142.499275
-120.791957,75,142.641509
-147.012179,260,143.049727
-112.714615,62,143.133086
-129.342219,92,143.282747
-130.200224,136,143.488813
-110.128936,89,143.63002
-112.717515,79,143.728974
-110.834007,73,143.852441
-123.517821,94,144.00711
-127.786865,95,144.125409
-119.76156,93,144.272762
-115.711731,68,144.389765
-108.331701,51,144.454865
-115.072721,60,144.563472
-116.429643,59,144.641715
-102.82953,105,144.803575
-120.069409,78,144.903495
