#{"t_start": 1576362264.685947, "env_id": "MountainCarContinuous-v0"}
r,l,t
-48.770383,999,1.863603
-49.653684,999,2.698175
-50.939119,999,3.534083
-49.219932,999,4.368333
-51.609331,999,5.204321
-47.620113,999,6.010602
-47.776396,999,6.847925
-47.186479,999,7.681623
-44.556221,999,8.509073
-42.632141,999,9.345839
-42.608374,999,10.153778
-41.381273,999,10.990973
-40.653757,999,11.823245
-38.663194,999,12.656721
-37.132945,999,13.491773
-36.708803,999,14.29614
-34.749961,999,15.130125
-31.824703,999,15.961501
-33.491833,999,16.794256
-32.136907,999,17.627462
-28.907163,999,18.434975
-30.410508,999,19.271037
-27.592876,999,20.107445
-25.489091,999,20.942814
-24.615664,999,21.780249
-24.18217,999,22.58826
-24.259069,999,23.42616
-21.818899,999,24.260638
-21.728699,999,25.098877
-20.537721,999,25.937068
-19.245696,999,26.739039
-19.357781,999,27.575049
-16.909009,999,28.408923
-16.671852,999,29.243157
-16.547508,999,30.074957
-15.551053,999,30.876404
-14.974046,999,31.719077
-13.521857,999,32.569493
-14.119022,999,33.4152
-13.245111,999,34.252196
-12.75214,999,35.065969
-11.568413,999,35.909754
-11.483969,999,36.749352
-10.713176,999,37.582471
-10.307716,999,38.414845
-9.636903,999,39.249194
-8.728349,999,40.055481
-8.016295,999,40.892447
-7.786305,999,41.72837
-7.692942,999,42.5639
-7.960535,999,43.398324
-7.206869,999,44.200736
-6.616574,999,45.03568
-6.991885,999,45.872388
-6.227139,999,46.709754
-5.859551,999,47.544333
-5.433259,999,48.350401
-5.318762,999,49.185826
-4.45801,999,50.023631
-4.895302,999,50.861199
-4.724918,999,51.692041
-4.078914,999,52.496987
-4.160923,999,53.337505
-3.76374,999,54.176262
-3.791315,999,55.01364
-3.578538,999,55.853797
-3.268421,999,56.657586
-3.08499,999,57.49511
-2.928467,999,58.331686
-2.880714,999,59.163691
-2.640826,999,59.997992
-2.646174,999,60.806347
-2.531922,999,61.643834
-2.460206,999,62.481154
-2.476215,999,63.314882
-2.247876,999,64.147482
-2.261763,999,64.960742
-2.050989,999,65.847448
-1.988707,999,66.696409
-1.791698,999,67.549778
-1.811716,999,68.383674
-1.786303,999,69.184985
-1.690034,999,70.029006
-1.554612,999,70.895048
-1.487608,999,71.745541
-1.364176,999,72.593195
-1.456752,999,73.442465
-1.248306,999,74.249268
-1.261887,999,75.088999
-1.173176,999,75.921641
-1.161463,999,76.755571
-1.008179,999,77.594603
-1.038614,999,78.402892
-0.914441,999,79.234343
-0.99825,999,80.069121
-0.867449,999,80.902053
-0.855257,999,81.734313
-0.844921,999,82.54127
-0.806616,999,83.38061
-0.858722,999,84.212083
-0.756503,999,85.075539
-0.670838,999,85.911858
-0.733702,999,86.714106
-0.655876,999,87.55281
-0.704492,999,88.389523
-0.566535,999,89.224991
-0.594975,999,90.060946
-0.563564,999,90.86518
-0.618736,999,91.70235
-0.541224,999,92.543025
-0.552931,999,93.376305
-0.461174,999,94.216921
-0.429647,999,95.022736
-0.470123,999,95.863911
