#{"t_start": 1574299724.7024682, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-320.147154,184,2.240594
-262.386932,79,2.559369
-300.882886,119,3.048803
-502.030265,115,3.53412
-282.646862,167,4.231503
-140.945942,170,4.950381
-44.683295,157,5.600953
-209.049749,250,6.701369
-333.299534,152,7.333904
-240.18751,154,7.968187
-253.609545,190,8.770984
-292.133554,159,9.434493
-65.627675,173,10.165679
-256.173828,185,10.944058
-85.450693,152,11.585933
-72.245835,217,12.532993
-66.861499,206,13.420182
-43.73963,307,14.789345
-360.263569,799,19.592189
-107.426458,539,22.417991
3.204396,406,24.333703
-89.473592,1000,30.311483
-86.266294,1000,36.114806
-227.313054,701,39.40148
-331.588748,950,45.355901
-84.896752,292,46.70907
-84.640191,185,47.49772
-268.751109,309,48.882455
-57.501377,215,49.81344
-473.531569,351,51.378578
-88.977299,1000,57.555601
-19.273614,1000,63.994074
-75.769713,1000,71.976914
-30.767612,1000,77.744193
-6.618448,1000,84.42821
33.520242,1000,90.751771
-159.400899,290,92.094412
-103.38821,176,92.842286
-33.884767,375,94.616651
-105.489069,230,95.640748
-187.147015,410,97.671467
-132.000859,455,99.973856
154.800388,559,102.902062
182.629669,605,105.943861
5.711814,1000,111.911198
14.372653,1000,117.508511
-0.855533,1000,123.27682
-87.959998,1000,129.787467
-60.864505,1000,136.126841
-14.908878,1000,141.565284
-102.103834,347,143.112968
-76.975258,1000,148.79815
-56.751407,726,152.563472
-25.285051,1000,158.597977
-65.57417,1000,165.952133
-6.109158,1000,171.369545
-171.617835,534,174.096477
-202.400502,629,177.340957
-21.376174,1000,183.061006
-78.890597,1000,189.370653
-80.99626,1000,195.596554
-90.1306,293,196.945085
-10.168963,1000,202.726744
-82.552636,614,205.870411
-62.251381,1000,211.197822
-38.41776,1000,216.956028
-61.711683,1000,223.445769
-43.068245,1000,230.237866
-76.081749,1000,236.683775
-88.60405,509,239.232911
-174.032167,495,241.717396
-131.372077,282,242.970931
-53.696632,1000,249.126069
-169.441405,600,252.192074
-142.141393,669,255.718173
-101.285429,1000,261.666266
-41.334996,1000,266.952933
-105.599525,1000,272.166366
-62.844235,1000,278.020694
-91.282325,1000,283.220411
-94.214356,1000,288.667896
-97.548876,1000,294.322089
-92.463172,382,295.993695
-79.00369,1000,301.557512
-151.119878,692,304.984163
-62.061951,1000,311.354487
-93.316079,352,312.893121
-74.211339,1000,318.293809
-65.6181,1000,323.09556
-96.049434,1000,329.439008
-83.132379,326,330.892079
-66.37404,1000,337.869452
-98.301965,1000,344.063714
-130.976599,1000,350.214262
-54.466613,1000,356.002408
-33.387779,1000,362.854646
-94.331817,243,363.931527
-98.992788,252,365.071228
-64.434589,1000,371.374783
-58.772432,1000,376.272922
-98.767255,293,377.628165
-92.037514,240,378.710475
-109.657859,393,380.601337
-78.070535,1000,387.065458
-93.90142,1000,393.208213
-88.692475,1000,398.849505
-128.603664,1000,403.998053
-64.90696,1000,410.07
-43.408251,1000,417.262153
-86.233897,1000,423.813049
-172.695158,783,427.860304
-9.738138,1000,435.028663
-78.451491,1000,440.43913
-80.627558,1000,445.706138
-52.484472,1000,451.036334
-44.662829,1000,456.543725
-48.3521,1000,462.087588
-83.362432,173,462.838931
-76.231417,1000,468.962771
-102.276141,1000,475.662733
-143.603603,1000,482.414751
-124.923859,1000,488.655563
-31.489462,1000,495.547022
-96.68643,1000,501.104166
-62.164186,1000,507.91201
-63.872361,1000,515.823028
-83.885451,1000,520.781066
1.595541,1000,527.149445
-61.601467,1000,533.8581
-22.340984,1000,540.589862
-80.065224,1000,547.137712
-60.541292,1000,552.769024
-77.454272,1000,557.975101
-167.005331,97,558.374127
-86.91828,1000,563.73939
-65.915455,1000,569.490435
-78.688754,1000,576.087996
-55.360156,1000,581.582324
-65.637472,1000,586.746089
-121.630107,280,588.020413
-36.372829,1000,593.859389
-113.213461,1000,600.690548
-118.45191,244,601.789224
-88.242353,1000,607.329307
-64.367411,1000,612.571955
-57.953657,1000,618.572877
-102.514489,1000,623.985353
-50.989679,1000,629.78094
-119.846381,1000,635.659888
26.163079,1000,642.113076
-0.226542,1000,649.342907
-20.283103,1000,656.215939
-53.31734,1000,662.341674
-72.63582,1000,669.384725
-53.117236,1000,676.92857
-45.878338,1000,683.325038
