#{"t_start": 1576369525.363832, "env_id": "MountainCarContinuous-v0"}
r,l,t
-33.847233,999,5.157498
-33.795249,999,8.783832
-33.733936,999,12.438035
-33.468787,999,16.048868
-33.009039,999,19.672571
-30.49222,999,23.308758
-29.655351,999,27.017833
-26.544491,999,30.670449
-27.107884,999,34.301259
-22.335712,999,37.94056
-20.326435,999,41.630133
-16.915929,999,45.272251
-13.902353,999,48.904958
-8.955656,999,52.544668
-7.573724,999,56.171085
-7.019807,999,59.800321
-8.036379,999,63.437579
-5.883109,999,67.074515
-6.312119,999,70.706656
-4.416715,999,74.325568
-3.697817,999,77.976767
-3.169787,999,81.599784
-0.859925,999,85.229241
-1.143693,999,88.857165
-0.969811,999,92.485331
-0.835641,999,96.11258
-1.536888,999,99.739764
-1.514977,999,103.348959
-0.936304,999,106.956427
-1.21264,999,110.579843
-1.626403,999,114.230502
-1.523747,999,117.865313
-1.43447,999,121.501114
-1.317822,999,125.137656
-1.133491,999,128.778353
-0.964457,999,132.450988
-1.200165,999,136.089079
-0.914194,999,139.725365
-1.053083,999,143.367133
-1.098837,999,146.999298
-1.035158,999,150.643202
-1.098697,999,154.273204
-1.215762,999,157.909316
-1.008052,999,161.541851
-0.854857,999,165.166227
-0.810358,999,168.802684
-0.774771,999,172.449791
-0.841001,999,176.083568
-0.850189,999,179.708307
-0.836526,999,183.340889
-0.835446,999,186.987941
-0.839801,999,190.614855
-0.882334,999,194.249103
-0.996586,999,197.87343
-0.935925,999,201.510102
-0.927097,999,205.156573
-0.934519,999,208.789631
-0.879438,999,212.421319
-0.916516,999,216.064166
-0.853584,999,219.704338
-0.864302,999,223.368792
-0.790934,999,227.009925
-0.876307,999,230.671049
-0.808201,999,234.320794
-0.844422,999,237.948644
-0.825594,999,241.58977
-0.817345,999,245.227483
-0.817179,999,248.881884
-0.792739,999,252.54622
-0.855688,999,256.183936
-0.810426,999,259.83601
-0.764447,999,263.480897
-0.853769,999,267.118036
-0.793852,999,270.763418
-0.882657,999,274.517996
-0.840004,999,278.170715
-0.802224,999,281.813163
-0.7591,999,285.562942
-0.804695,999,289.194949
-0.809708,999,292.844356
-0.775064,999,296.513546
-0.837611,999,300.156789
-0.8293,999,303.788852
-0.801182,999,307.425491
-0.765193,999,311.093826
-0.862014,999,314.764638
-0.789933,999,318.408366
-0.789683,999,322.050373
-0.909054,999,325.730395
-0.812398,999,329.429896
-0.781844,999,333.088696
-0.856028,999,336.723942
-0.814182,999,340.365515
-0.770792,999,344.002811
-0.760806,999,347.640449
-0.834565,999,351.2769
-0.814699,999,354.935347
-0.789944,999,358.572759
-0.774269,999,362.205043
-0.861625,999,365.842482
-0.887049,999,369.510618
-0.863744,999,373.179292
-0.801821,999,376.822736
-0.794265,999,380.468976
-0.827284,999,384.124418
-0.817391,999,387.772133
-0.79274,999,391.42081
-0.742845,999,395.072289
-0.773346,999,398.724463
-0.79222,999,402.388316
-0.768612,999,406.052219
-0.690218,999,409.706901
-0.778068,999,413.382661
-0.805908,999,417.041501
-0.82335,999,420.681594
-0.812065,999,424.331177
-0.760869,999,427.989833
-0.812556,999,431.642521
-0.781314,999,435.283186
-0.713928,999,438.927076
-0.810542,999,442.591449
-0.869486,999,446.242359
-0.819662,999,449.897029
-0.876605,999,453.561645
-0.774152,999,457.226602
-0.73482,999,460.877735
-0.812892,999,464.534068
-0.828837,999,468.180526
-0.804622,999,471.826463
-0.831473,999,475.492399
-0.840988,999,479.159772
-0.845302,999,482.809051
-0.81268,999,486.451621
-0.807507,999,490.101792
-0.80774,999,493.765922
-0.83782,999,497.411974
-0.821516,999,501.059791
-0.801912,999,504.69996
